name,argument,role,value_types
echodemo,filename,Script file name,"character vector, string scalar"
echodemo,index,Section index,scalar integer
echotcpip,port,Port number of the server,numeric
edit,file,Name of file,"character vector, string"
eig,A,Input matrix,square matrix
eig,B,Generalized eigenvalue problem input matrix,square matrix
eig,algorithm,Generalized eigenvalue algorithm,"'chol', 'qz'"
eig,balanceOption,Balance option,"'balance', 'nobalance'"
eig,outputForm,Output format of eigenvalues,"'vector', 'matrix'"
eigs,A,Input matrix,matrix
eigs,Afun,Matrix function,function handle
eigs,B,Input matrix,matrix
eigs,k,Number of eigenvalues to compute,scalar
eigs,n,Size of square matrix represented by Afun,scalar
eigs,opts,Options structure,structure
eigs,sigma,Type of eigenvalues,"'largestabs', 'smallestabs', 'largestreal', 'smallestreal', 'bothendsreal', 'largestimag', 'smallestimag', 'bothendsimag', scalar"
ellipj,M,Input array,"scalar, vector, matrix, multidimensional array"
ellipj,U,Input array,"scalar, vector, matrix, multidimensional array"
ellipj,tol,Accuracy of result,"eps, nonnegative real number"
ellipke,M,Input array,"scalar, vector, matrix, multidimensional array"
ellipke,tol,Accuracy of result,"eps, nonnegative real number"
ellipsoid,ax,Target axes,Axes object
ellipsoid,n,Number of faces,positive scalar integer
ellipsoid,"xc,yc,zc",Coordinates of ellipsoid center,three comma-separated scalar numbers
ellipsoid,"xr,yr,zr","Principal semiaxes along x-, y-, and z-axes",three comma-separated scalar numbers
empty,sizeVector,Vector of dimensions,"0, row vector"
empty,"sz1,...,szN",Dimensions of array,"0, integers"
enableDefaultInteractivity,ax,Axes,"Axes object, PolarAxes object, GeographicAxes object"
enableLegacyExplorationModes,fig,Target figure,Figure object created using uifigure
enableservice,enable,Enable flag,"true, false"
endsWith,pat,Search pattern,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
endsWith,str,Input text,"string array, character vector, cell array of character vectors"
enumeration,ClassName,Enumeration class name,"character vector, string"
enumeration,obj,Instance of enumeration class,object
eomday,m,,
eomday,y,,
eps,datatype,Output data type,"'double', 'single'"
eps,x,Input array,"scalar, vector, matrix, multidimensional array"
eq,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
eq,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
equilibrate,A,Input matrix,square matrix
erase,match,Text to delete,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
erase,str,Input text,"string array, character vector, cell array of character vectors"
eraseBetween,endPat,Text or pattern that marks end position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
eraseBetween,endPos,End position,numeric array
eraseBetween,startPat,Text or pattern that marks start position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
eraseBetween,startPos,Start position,numeric array
eraseBetween,str,Input text,"string array, character vector, cell array of character vectors"
erf,x,Input,"real number, vector of real numbers, matrix of real numbers, multidimensional array of real numbers"
erfc,x,Input,"real number, vector of real numbers, matrix of real numbers, multidimensional array of real numbers"
erfcinv,x,Input,"real number, vector of real numbers, matrix of real numbers, multidimensional array of real numbers"
erfcx,x,Input,"real number, vector of real numbers, matrix of real numbers, multidimensional array of real numbers"
erfinv,x,Input,"real number, vector of real numbers, matrix of real numbers, multidimensional array of real numbers"
error,"A1,...,An",Values,"character vector, string scalar, numeric scalar"
error,correction,Suggested fix for this exception,"matlab.lang.correction.AppendArgumentsCorrection object, matlab.lang.correction.ConvertToFunctionNotationCorrection object, matlab.lang.correction.ReplaceIdent…"
error,errID,Identifier for error,"character vector, string scalar"
error,errorStruct,Error reporting information,scalar structure
error,msg,Information about error,"character vector, string scalar"
errorbar,LineSpec,"Line style, marker, and color","character vector, string"
errorbar,ax,Axes object,"current axes, axes object"
errorbar,err,Error bar lengths for symmetrical error bars,"vector, matrix"
errorbar,neg,Error bar lengths in negative direction,"vector, matrix, []"
errorbar,ornt,Error bar orientation,"'vertical', 'horizontal', 'both'"
errorbar,pos,Error bar lengths in positive direction,"vector, matrix, []"
errorbar,x,x values,"vector, matrix"
errorbar,xneg,Horizontal error bar lengths to left of data points,"vector, matrix, []"
errorbar,xpos,Horizontal error bar lengths to right of data points,"vector, matrix, []"
errorbar,y,y values,"vector, matrix"
errorbar,yneg,Vertical error bar lengths below data points,"vector, matrix, []"
errorbar,ypos,Vertical error bar lengths above data points,"vector, matrix, []"
errordlg,msg,Error message,"'This is the default error.', character vector, cell array of character vectors, string array"
errordlg,opts,Dialog box settings,"'non-modal', 'modal', 'replace', structure array"
errordlg,title,Dialog box title,"'Error Dialog', character vector, string scalar"
etime,"t2,t1",Date vectors,"1-by-6 vector, m-by-6 matrix"
etreeplot,A,,
etreeplot,c,,
etreeplot,d,,
eval,expression,Expression to evaluate,"character vector, string scalar"
evalc,expression,Expression to evaluate,"character vector, string scalar"
evalin,expression,Expression to evaluate,"character vector, string scalar"
evalin,workspace,Workspace in which to evaluate expression,"'base', 'caller'"
event.hasListener,EventName,Event name,char array
event.hasListener,src,Event source,object array
eventlisteners,c,COM object,function handle
events,ClassName,Class name,"character vector, string scalar"
events,obj,Object,MATLAB object
exist,name,"name of variable, script, function, folder, or class","character vector, string scalar"
exist,searchType,Type of results to search for,"builtin, class, dir, file, var"
exp,X,Input array,"scalar, vector, matrix, multidimensional array"
expint,X,Input array,"scalar, vector, matrix, multidimensional array"
expm,X,Input matrix,square matrix
export2wsdlg,defs,Default check box selections,logical array
export2wsdlg,flist,List of function calls,cell array
export2wsdlg,helpfcn,Help button callback,"function handle, cell array, character vector"
export2wsdlg,labels,Check box labels,"cell array of character vectors, string array"
export2wsdlg,title,Dialog box title,"'Export to Workspace', character vector, string scalar"
export2wsdlg,vals,Variable values,cell array
export2wsdlg,vars,Edit field variable names,"cell array of character vectors, string array"
exportapp,fig,Figure,Figure object
exportapp,filename,File name,"character vector, string scalar"
exportgraphics,filename,File name,"character vector, string scalar"
exportgraphics,obj,Graphics object,"axes, figure, standalone visualization, tiled chart layout"
exportsetupdlg,f,Target figure,figure object
extract,pat,Search pattern,"string array, character vector, cell array of character vectors, pattern array"
extract,pos,Position,numeric array
extract,str,Input text,"string array, character vector, cell array of character vectors"
extractAfter,pat,Text or pattern that marks start position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
extractAfter,pos,Start position,numeric array
extractAfter,str,Input text,"string array, character vector, cell array of character vectors"
extractBefore,pat,Text or pattern that marks end position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
extractBefore,pos,End position,numeric array
extractBefore,str,Input text,"string array, character vector, cell array of character vectors"
extractBetween,endPat,Text or pattern that marks end position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
extractBetween,endPos,End position,numeric array
extractBetween,startPat,Text or pattern that marks start position,"string array, character vector, cell array of character vectors, pattern array (since R2020b)"
extractBetween,startPos,Start position,numeric array
extractBetween,str,Input text,"string array, character vector, cell array of character vectors"
eye,m,Size of second dimension of I,integer value
eye,n,Size of first dimension of I,integer value
eye,p,Prototype,numeric variable
eye,sz,Size of I,row vector of no more than two integer values
eye,typename,Output class,"'double', 'single', 'logical', 'int8', 'uint8'"
ezcontour,ax,Axes object,axes object
ezcontour,f,Function to plot,"character vector, string scalar, function handle"
ezcontour,n,Size of the grid,"60, positive integer"
ezcontour,xyinterval,Plotting interval for x and y,"[–2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezcontourf,ax,Axes object,axes object
ezcontourf,f,Function to plot,"character vector, string scalar, function handle"
ezcontourf,n,Size of the grid,"60, positive integer"
ezcontourf,xyinterval,Plotting interval for x and y,"[–2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezmesh,ax,Axes object,axes object
ezmesh,f,3-D function to plot,"character vector, string scalar, function handle"
ezmesh,funx,Parametric function for x coordinates,"character vector, string scalar, function handle"
ezmesh,funy,Parametric function for y coordinates,"character vector, string scalar, function handle"
ezmesh,funz,Parametric function for z coordinates,"character vector, string scalar, function handle"
ezmesh,n,Size of the grid,"60, positive integer"
ezmesh,uvinterval,Plotting interval for u and v,"[-2π 2π -2π 2π], vector of form [min max], vector of form [umin umax vmin vmax]"
ezmesh,xyinterval,Plotting interval for x and y,"[-2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezmeshc,ax,Axes object,axes object
ezmeshc,f,3-D function to plot,"character vector, string scalar, function handle"
ezmeshc,funx,Parametric function for x coordinates,"character vector, string scalar, function handle"
ezmeshc,funy,Parametric function for y coordinates,"character vector, string scalar, function handle"
ezmeshc,funz,Parametric function for z coordinates,"character vector, string scalar, function handle"
ezmeshc,n,Size of the grid,"60, positive integer"
ezmeshc,uvinterval,Plotting interval for u and v,"[-2π 2π -2π 2π], vector of form [min max], vector of form [umin umax vmin vmax]"
ezmeshc,xyinterval,Plotting interval for x and y,"[-2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezplot,ax,Axes object,axes object
ezplot,f,Function to plot,"character vector, string scalar, function handle"
ezplot,f2,Implicit function to plot,"character vector, string scalar, function handle"
ezplot,funx,Parametric function for x coordinates,function handle
ezplot,funy,Parametric function for y coordinates,"anonymous function, function handle"
ezplot,uinterval,Plotting interval for u,"[-2π 2π], two-element vector of form [tmin tmax]"
ezplot,xinterval,Plotting interval for x,"[–2π 2π], two-element vector of form [xmin xmax]"
ezplot,xyinterval,Plotting interval for x and y,"[-2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezplot3,ax,Axes object,axes object
ezplot3,funx,Parametric function for x coordinates,"character vector, string scalar, function handle"
ezplot3,funy,Parametric function for y coordinates,"character vector, string scalar, function handle"
ezplot3,funz,Parametric function for z coordinates,"character vector, string scalar, function handle"
ezplot3,uinterval,Plotting interval for u,"[0 2π], two-element vector of form [umin umax]"
ezpolar,"[a,b]",ordered,"numeric, size=1,2"
ezpolar,axes_handle,ordered,matlab.graphics.axis.Axes
ezpolar,fun,required,function_handle
ezsurf,ax,Axes object,axes object
ezsurf,f,3-D function to plot,"character vector, string scalar, function handle"
ezsurf,funx,Parametric function for x coordinates,"character vector, string scalar, function handle"
ezsurf,funy,Parametric function for y coordinates,"character vector, string scalar, function handle"
ezsurf,funz,Parametric function for z coordinates,"character vector, string scalar, function handle"
ezsurf,n,Size of the grid,"60, positive integer"
ezsurf,uvinterval,Plotting interval for u and v,"[-2π 2π -2π 2π], vector of form [min max], vector of form [umin umax vmin vmax]"
ezsurf,xyinterval,Plotting interval for x and y,"[-2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ezsurfc,ax,Axes object,axes object
ezsurfc,f,3-D function to plot,"character vector, string scalar, function handle"
ezsurfc,funx,Parametric function for x coordinates,"character vector, string scalar, function handle"
ezsurfc,funy,Parametric function for y coordinates,"character vector, string scalar, function handle"
ezsurfc,funz,Parametric function for z coordinates,"character vector, string scalar, function handle"
ezsurfc,n,Size of the grid,"60, positive integer"
ezsurfc,uvinterval,Plotting interval for u and v,"[-2π 2π -2π 2π], vector of form [min max], vector of form [umin umax vmin vmax]"
ezsurfc,xyinterval,Plotting interval for x and y,"[-2π 2π -2π 2π], vector of form [min max], vector of form [xmin xmax ymin ymax]"
factor,n,Input value,"real, nonnegative integer scalar"
factorial,n,Input values,"scalar, vector, or array of real, nonnegative integer values"
false,n,Size of square matrix,integer
false,p,Prototype,logical variable
false,sz,Size vector,row vector of integers
false,"sz1,...,szN",Size inputs,comma-separated list of integers
fclose,fileID,File identifier,integer
fcontour,LineSpec,Line style and color,"character vector, string"
fcontour,ax,Axes object,axes object
fcontour,f,Function to plot,function handle
fcontour,xyinterval,Plotting interval for x and y,"[–5 5 -5 5], vector of form [min max], vector of form [xmin xmax ymin ymax]"
feather,LineSpec,"Line style, marker, and color","character vector, string"
feather,U,x-components,"scalar, vector, matrix"
feather,V,y-components,"scalar, vector, matrix"
feather,Z,Complex values,"scalar, vector, matrix"
feather,ax,Target axes,Axes object
feof,fileID,File identifier,integer
ferror,fileID,File identifier,integer
feval,fun,Function to evaluate,"function name, function handle"
feval,"x1,...,xM",Inputs to evaluated function,depends on function
fft,X,Input array,"vector, matrix, multidimensional array"
fft,dim,Dimension to operate along,positive integer scalar
fft,n,Transform length,"[], nonnegative integer scalar"
fft2,X,Input array,"matrix, multidimensional array"
fft2,m,Number of transform rows,positive integer scalar
fft2,n,Number of transform columns,positive integer scalar
fftn,X,Input array,"matrix, multidimensional array"
fftn,sz,Length of transform dimensions,vector of positive integers
fftshift,X,Input array,"vector, matrix, multidimensional array"
fftshift,dim,Dimension to operate along,positive integer scalar
fftw,fftinfo,Transform parameters,"character array, []"
fftw,method,Method for setting transform parameters,"'estimate', 'measure', 'patient', 'exhaustive', 'hybrid'"
fftw,wisdom,Transform parameter precision,"'swisdom', 'dwisdom'"
fgetl,fileID,File identifier,integer
fgets,fileID,File identifier,integer
fgets,nchar,Number of characters,integer
fieldnames,S,Input structure array,structure array
fieldnames,obj,Input object,"Java object, Microsoft COM object"
figure,f,Target figure,Figure object
figure,n,Target figure number,scalar integer value
figurepalette,varargin,,
fileattrib,attribs,File or folder attribute values,"character vector, string scalar"
fileattrib,filename,File or folder name,"character vector, string scalar"
fileattrib,users,Subset of users,"'a', 'g', 'o', 'u', ''"
fileparts,filename,File name,"string array, character vector, cell array of character vectors"
fileread,filename,Name of file to read,character vector or string scalar
fill,ax,ordered,matlab.graphics.axis.Axes
fill,opts,properties,matlab.graphics.primitive.Patch
fill3,ax,ordered,matlab.graphics.axis.AbstractAxes
fill3,opts,properties,matlab.graphics.primitive.Patch
fillmissing,A,Input data,"vector, matrix, multidimensional array, table, timetable"
fillmissing,dim,Dimension to operate along,positive integer scalar
fillmissing,fillfun,Custom fill method,function handle
fillmissing,gapwindow,Gap window length,"positive integer scalar, two-element vector of positive integers, positive duration scalar, two-element vector of positive durations"
fillmissing,method,Fill method,"'previous', 'next', 'nearest', 'linear', 'spline', 'pchip', 'makima'"
fillmissing,movmethod,Moving method,"'movmean', 'movmedian'"
fillmissing,v,Fill constant,"scalar, vector, cell array"
fillmissing,window,Window length,"positive integer scalar, two-element vector of positive integers, positive duration scalar, two-element vector of positive durations"
filloutliers,A,Input data,"vector, matrix, multidimensional array, table, timetable"
filloutliers,dim,Dimension to operate along,positive integer scalar
filloutliers,fillmethod,Fill method,"numeric scalar, 'center', 'clip', 'previous', 'next', 'nearest', 'linear', 'spline', 'pchip', 'makima'"
filloutliers,findmethod,Method for detecting outliers,"'median', 'mean', 'quartiles', 'grubbs', 'gesd'"
filloutliers,movmethod,Moving method,"'movmedian', 'movmean'"
filloutliers,threshold,Percentile thresholds,two-element row vector
filloutliers,window,Window length,"positive integer scalar, two-element vector of positive integers, positive duration scalar, two-element vector of positive durations"
filter,a,Denominator coefficients of rational transfer function,vector
filter,b,Numerator coefficients of rational transfer function,vector
filter,dim,Dimension to operate along,positive integer scalar
filter,x,Input data,"vector, matrix, multidimensional array"
filter,zi,Initial conditions for filter delays,"[], vector, matrix, multidimensional array"
filter2,H,Coefficients of rational transfer function,matrix
filter2,X,Input data,matrix
filter2,shape,Subsection of filtered data,"'same', 'full', 'valid'"
fimplicit,LineSpec,"Line style, marker, and color","character vector, string"
fimplicit,ax,Axes object,axes object
fimplicit,f,Implicit function to plot,function handle
fimplicit,interval,Plotting interval for x and y,"[-5 5], two-element vector, four-element vector"
fimplicit3,LineSpec,"Line style, marker, and color","character vector, string"
fimplicit3,ax,Axes object,axes object
fimplicit3,f,3-D implicit function to plot,function handle
fimplicit3,interval,"Plotting interval for x, y, and z","[-5 5], two-element vector, six-element vector"
find,X,Input array,"scalar, vector, matrix, multidimensional array"
find,direction,Search direction,"'first', 'last'"
find,n,Number of nonzeros to find,positive integer scalar
findall,objhandles,Objects to search from,array of graphics objects
findall,prop,Property name,"character vector, string scalar"
findall,value,Property value,"scalar, array"
findgroups,A,Grouping variable,"vector, cell array of character vectors, string array"
findgroups,T,Grouping variables,table
findobj,d,Depth of search,nonnegative integer
findobj,expr,Regular expression,"string array, character vector, cell array of character vectors"
findobj,objhandles,Objects to search from,array of graphics objects
findobj,oper,Logical operator,"'-and', '-or', '-xor'"
findobj,prop,Property name,"character vector, string scalar"
findobj,value,Property value,"scalar, array"
findstr,"str1,str2",Text to Compare,"character vector, string scalar"
fitsdisp,filename,,
fitsinfo,filename,required,"file=*.fts,*.fits, matlabpathfile=*.fts,*.fits, char"
fitsread,extname,Data array or extension name,"'primary', 'asciitable', 'binarytable', 'image', 'unknown'"
fitsread,filename,File name,"character vector, string scalar"
fitsread,index,Index,scalar
fitswrite,filename,File name,"character vector, string scalar"
fitswrite,imagedata,Input image data,"one-dimensional array, multi-dimensional array"
fix,X,Input array,"scalar, vector, matrix, multidimensional array"
flag,m,Number of colors,"256, scalar integer value"
flintmax,precision,Floating-point precision type,"'double', 'single'"
flip,A,Input array,"vector, matrix, multidimensional array, table, timetable"
flip,dim,Dimension to operate along,positive integer scalar
flipdim,dim,,
flipdim,x,,
fliplr,A,Input array,"vector, matrix, multidimensional array, table, timetable"
flipud,A,Input array,"vector, matrix, multidimensional array, table, timetable"
floor,X,Input array,"scalar, vector, matrix, multidimensional array"
floor,t,Input duration,duration array
floor,unit,Unit of time,"'seconds', 'minutes', 'hours', 'days', 'years'"
flow,x,,
flow,y,,
flow,z,,
fmesh,LineSpec,"Line style, marker, and color","character vector, string"
fmesh,ax,Axes object,axes object
fmesh,f,3-D function to plot,function handle
fmesh,funx,Parametric function for x coordinates,function handle
fmesh,funy,Parametric function for y coordinates,function handle
fmesh,funz,Parametric function for z coordinates,function handle
fmesh,uvinterval,Plotting interval for u and v,"[-5 5 -5 5], vector of form [min max], vector of form [umin umax vmin vmax]"
fmesh,xyinterval,Plotting interval for x and y,"[-5 5 -5 5], vector of form [min max], vector of form [xmin xmax ymin ymax]"
fminbnd,fun,Function to minimize,"function handle, function name"
fminbnd,options,Optimization options,structure such as optimset returns
fminbnd,problem,Problem structure,structure
fminbnd,x1,Lower bound,finite real scalar
fminbnd,x2,Upper bound,finite real scalar
fminsearch,fun,Function to minimize,"function handle, function name"
fminsearch,options,Optimization options,structure such as optimset returns
fminsearch,problem,Problem structure,structure
fminsearch,x0,Initial point,"real vector, real array"
fopen,encodingIn,Character encoding,"'UTF-8', 'ISO-8859-1', 'windows-1251', 'windows-1252'"
fopen,fileID,File identifier of an open file,integer
fopen,filename,Name of file to open,character vector or string scalar
fopen,machinefmt,Order for reading or writing bytes or bits,"'n', 'b', 'l', 's', 'a'"
fopen,permission,File access type,"'r', 'w', 'a', 'r+', 'w+', 'a+', 'A', 'W'"
format,style,Format to apply,"character vector, string scalar, DisplayFormatOptions object"
formattedDisplayText,X,Expression to return as string,array
fplot,LineSpec,"Line style, marker, and color","character vector, string"
fplot,ax,Axes object,axes object
fplot,f,Function to plot,function handle
fplot,funx,Parametric function for x coordinates,function handle
fplot,funy,Parametric function for y coordinates,"anonymous function, function handle"
fplot,tinterval,Interval for t,"[-5 5], two-element vector of form [tmin tmax]"
fplot,xinterval,Interval for x,"[–5 5], two-element vector of form [xmin xmax]"
fplot3,LineSpec,"Line style, marker, and color","character vector, string"
fplot3,ax,Axes object,axes object
fplot3,funx,Parametric function for x coordinates,function handle
fplot3,funy,Parametric function for y coordinates,function handle
fplot3,funz,Parametric function for z coordinates,function handle
fplot3,tinterval,Interval for parameter t,"[–5 5], two-element vector of form [tmin tmax]"
fprintf,"A1,...,An",Numeric or character arrays,"scalar, vector, matrix, multidimensional array"
fprintf,fileID,File identifier,"1, 2, scalar"
fprintf,formatSpec,Format of output fields,formatting operators
fprintf (serial),cmd,,
fprintf (serial),format,,
fprintf (serial),mode,,
frame2im,F,Movie frame,structure
fread,fileID,File identifier,integer
fread,machinefmt,Order for reading bytes,"'n', 'b', 'l', 's', 'a'"
fread,precision,Class and size of values to read,"'uint8=>double', character vector or string scalar"
fread,sizeA,Dimensions of output array,"Inf, integer, two-element row vector"
fread,skip,Number of bytes to skip,"0, scalar"
freqspace,N,Number of points around the unit circle,numeric scalar
freqspace,[m n],Length of each frequency vector,two-element vector of positive numeric values
freqspace,n,Length of frequency vectors,numeric scalar
frewind,fileID,File identifier,integer
fscanf,fileID,File identifier,integer
fscanf,formatSpec,Format of data fields,"character vector, string scalar"
fscanf,sizeA,Dimensions of output array,"Inf, integer, two-element row vector"
fseek,fileID,File identifier,integer
fseek,offset,Number of bytes,integer
fseek,origin,Starting location,"integer, character vector, string"
fsurf,LineSpec,"Line style, marker, and color","character vector, string"
fsurf,ax,Axes object,axes object
fsurf,f,3-D function to plot,function handle
fsurf,funx,Parametric function for x coordinates,function handle
fsurf,funy,Parametric function for y coordinates,function handle
fsurf,funz,Parametric function for z coordinates,function handle
fsurf,uvinterval,Plotting interval for u and v,"[-5 5 -5 5], vector of form [min max], vector of form [umin umax vmin vmax]"
fsurf,xyinterval,Plotting interval for x and y,"[-5 5 -5 5], vector of form [min max], vector of form [xmin xmax ymin ymax]"
ftell,fileID,File identifier,integer
full,S,Sparse matrix to convert,matrix
fullfile,"filepart1,...,filepartN",Folder or file names,"character vectors, string arrays, cell arrays of character vectors"
func2str,fh,Handle to convert to character vector,function handle
functions,fh,Handle to query,function handle
functiontests,f,Handles to local test functions,cell array of function handles
funm,A,,
funm,fun,,
funm,options,,
funm,varargin,,
fwrite,A,Data to write,"numeric array, character array, string array"
fwrite,fileID,File identifier,"integer, 1, 2"
fwrite,machinefmt,Order for writing bytes,"'n', 'b', 'l', 's', 'a'"
fwrite,precision,Class and size of values to write,"'uint8', character vector, string scalar"
fwrite,skip,Number of bytes to skip,"0, scalar"
fzero,fun,Function to solve,"function handle, function name"
fzero,options,Options for solution process,"structure, typically created using optimset"
fzero,problem,Root-finding problem,structure
fzero,x0,Initial value,"scalar, 2-element vector"
gallery,"P1,P2,...,Pn",Input parameters,"scalars, vectors, matrices"
gallery,matrixname,Name of matrix family,"'binomial', 'cauchy', 'chebspec', 'chebvand', 'chow', 'circul', 'clement', 'compar', ..."
gallery,typename,Data type of generated test matrices,"character vector, string scalar"
gamma,X,Input array,"scalar, vector, matrix, multidimensional array"
gammainc,A,Input array,"scalar, vector, matrix, multidimensional array"
gammainc,X,Input array,"scalar, vector, matrix, multidimensional array"
gammainc,scale,Scaling option,"'scaledlower', 'scaledupper'"
gammainc,type,Type of incomplete gamma function,"'lower', 'upper'"
gammaincinv,A,Input array,"scalar, vector, matrix, multidimensional array"
gammaincinv,Y,Input array,"scalar, vector, matrix, multidimensional array"
gammaincinv,type,Type of inverse incomplete gamma function,"'lower', 'upper'"
gca,fig,,
gcd,"A,B",Input values,"scalars, vectors, or arrays of real integer values"
gcmr,'nocreate',ordered,choices={'nocreate'}
ge,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
ge,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
genpath,folderName,Folder name,"character vector, string scalar"
genvarname,candidate,,
genvarname,protected,,
geoaxes,gx,Geographic axes to be made current axes,GeographicAxes object
geoaxes,parent,Parent container,"Figure object, Panel object, Tab object, TiledChartLayout object, GridLayout object"
geobasemap,basemap,Map on which to plot data,"'streets-light', 'streets-dark', 'streets', 'satellite', 'topographic'"
geobasemap,gx,Geographic axes or chart,"gca, GeographicAxes object, GeographicBubbleChart object"
geobubble,colordata,Data categories that determine bubble color,categorical
geobubble,lat,Latitude coordinates in degrees,"real, numeric, finite vector within the range [-90 90]"
geobubble,latvar,Table variable for latitude,"character vector, string scalar, numeric scalar, logical vector"
geobubble,lon,Longitude coordinates in degrees,"real, numeric, finite vector"
geobubble,lonvar,Table variable for longitude,"character vector, string scalar, numeric scalar, logical vector"
geobubble,parent,Parent container,"Figure object, Panel object, Tab object, TiledChartLayout object, GridLayout object"
geobubble,sizedata,Data that determines bubble size,"real, numeric, finite vector, real, numeric, finite scalar, []"
geobubble,tbl,Table containing data to be plotted,"table, timetable"
geodensityplot,gx,Target geographic axes,GeographicAxes object
geodensityplot,lat,Latitude coordinates of data points,"real, numeric, finite vector within the range [-90 90]"
geodensityplot,lon,Longitude coordinates in degrees,"real, numeric, finite vector"
geodensityplot,weights,Weights assigned to data,"[], scalar, numeric vector"
geolimits,gx,Geographic axes or chart,"gca, GeographicAxes object, GeographicBubbleChart object"
geolimits,latlim,Limits of the geographic axes or chart in latitude,two-element vector
geolimits,lonlim,Limits of the geographic axes or chart in longitude,two-element vector
geoplot,LineSpec,"Line style, marker, and color","character vector, string"
geoplot,gx,Target geographic axes,GeographicAxes object
geoplot,lat,Latitude coordinates in degrees,"real, numeric, finite vector"
geoplot,lon,Longitude coordinates in degrees,"real, numeric, finite vector"
geoscatter,'filled',Option to fill the interior of the markers,'filled'
geoscatter,A,Marker sizes in points squared,"36, scalar, vector, []"
geoscatter,C,Marker color,"RGB triplet, three-column matrix of RGB triplets, vector, 'r', 'g', 'b'"
geoscatter,M,Marker symbol,"'o', '+', '*', '.', 'x'"
geoscatter,gx,Parent geographic axes object,GeographicAxes object
geoscatter,lat,Latitude coordinates in degrees,"real, numeric, finite vector within the range [-90 90]"
geoscatter,lon,Longitude coordinates in degrees,"real, numeric, finite vector"
geotickformat,fmt,Tick label format,"'dms', 'dd', 'dm', -'dd', '-dm', '-dms'"
geotickformat,gx,Target geographic axes,GeographicAxes object
getNumInputs,obj,System object to query,System object
getNumOutputs,obj,System object to query,System object handle
getappdata,name,Name identifier,"character vector, string scalar"
getappdata,obj,Graphics object containing the value,"Figure object, Panel object, ButtonGroup object, UIControl object"
getenv,name,Environment variable name,"string, character vector"
getfield,S,Structure array,structure array
getfield,field,Field name,"character vector, string scalar"
getfield,idx,Indices,cell array of numeric values
getframe,ax,Axes to capture,"Axes object, GeographicAxes object"
getframe,fig,Figure to capture,figure object
getframe,rect,Rectangular area to capture,four-element vector of the form [left bottom width height]
getpixelposition,c,UI component,UI component object
getpixelposition,isrecursive,Return position relative to figure,"false or 0, true or 1"
getpoints,an,AnimatedLine object,AnimatedLine object
getpref,group,Custom preference group name,"character vector, string scalar"
getpref,pref,Custom preference name,"character vector, cell array of character vectors, string array"
getpref,value,Preference value,MATLAB data
getrangefromclass,I,Input image,"numeric array, logical array"
ginput,n,Number of points,positive integer
gmres,A,Coefficient matrix,"matrix, function handle"
gmres,M,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
gmres,M1,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
gmres,M2,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
gmres,b,Right-hand side of linear equation,column vector
gmres,maxit,Maximum number of outer iterations,positive scalar integer
gmres,restart,Number of inner iterations before restart,"[] or size(A,1), positive scalar integer"
gmres,tol,Method tolerance,"[] or 1e-6, positive scalar"
gmres,x0,Initial guess,"[] or a column vector of zeros, column vector"
gobjects,0,Define an empty array,one or more dimensions equal to 0
gobjects,n,defines n-by-n array,integer value
gobjects,"s1,...,sn",Size of each array dimension,two or more integer values
gobjects,v,Size of each array dimension,row vector of integer values
gplot,A,Adjacency matrix,matrix
gplot,LineSpec,"Line style, marker, and color","character vector, string"
gplot,XYCoords,xy-coordinates of nodes,N-by-2 matrix
grabcode,filename,Name of HTML file,"character vector, string scalar"
grabcode,url,Web page address or location of the HTML file,"character vector, string scalar"
gradient,F,Input array,"vector, matrix, multidimensional array"
gradient,h,Uniform spacing between points,"1, scalar"
gradient,hN,Spacing between points (as separate inputs),"1, scalars, vectors"
gradient,hx,Spacing between points (as separate inputs),"1, scalars, vectors"
gradient,hy,Spacing between points (as separate inputs),"1, scalars, vectors"
gray,m,Number of colors,"256, scalar integer value"
grid,target,Target object,"axes, standalone visualization, array of axes or standalone visualizations"
griddata,method,Interpolation method,"'linear', 'nearest', 'natural', 'cubic', 'v4'"
griddata,v,Sample values,vector
griddata,x,Sample point coordinates,vectors
