name,section,kind,forms
fircls,Digital Filter Design,function,"B = FIRCLS(N,F,A,DEV_UP,DEV_LO);FIRCLS(N,F,A,DEV_UP,DEV_LO,'trace');FIRCLS(N,F,A,DEV_UP,DEV_LO,'plots');b = fircls(n,f,a,up,lo)"
fircls1,Digital Filter Design,function,"B = FIRCLS1(N,WO,DEVP,DEVS);B = FIRCLS1(N,WO,DEVP,DEVS,'high');B = FIRCLS1(N,WO,DEVP,DEVS,WT);FIRCLS1(N,WO,DEVP,DEVS,WT,'high');B = FIRCLS1(N,WO,DEVP,DEVS,WP,WS,K);FIRCLS1(N,WO,DEVP,DEVS,WP,WS,K,WT,'high');FIRCLS1(N,W0,DEVP,DEVS,...,'trace');FIRCLS1(N,W0,DEVP,DEVS,...,'plots');h = fircls1(n,wo,dp,ds);h1 = fircls1(n,wo,dp,ds,wp,ws,K)"
firgauss,unlisted,function,
firls,Digital Filter Design,function,"B=FIRLS(N,F,A);B=FIRLS(N,F,A,W);B=FIRLS(N,F,A,'Hilbert');B=FIRLS(N,F,A,W,'Hilbert');B=FIRLS(30,[.1 .9],[1 1],'Hilbert');B=FIRLS(N,F,A,'differentiator');B=FIRLS(N,F,A,W,'differentiator');h=firls(30,[0 .1 .2 .5]*2,[1 1 0 0]);h=firls(44,[0 .3 .4 1],[0 .2 0 0],'differentiator');h=firls(25,[0 .4 .5 1],[0 0 1 1],'h')"
firpm,Digital Filter Design,function,"B=FIRPM(N,F,A);B=FIRPM(N,F,A,W);B=FIRPM(N,F,A,'Hilbert');B=FIRPM(N,F,A,W,'Hilbert');B=FIRPM(30,[.1 .9],[1 1],'Hilbert');B=FIRPM(N,F,A,'differentiator');B=FIRPM(N,F,A,W,'differentiator');B=FIRPM(...,{LGRID});[B,ERR]=FIRPM(...);[B,ERR,RES]=FIRPM(...);B=FIRPM(N,F,@fresp,W);B=FIRPM(N,F,{@fresp,P1,P2,...},W);B=FIRPM(N,F,{@firpmfrf,A},W);B=FIRPM(...,'h');B=FIRPM(...,'d');h=firpm(30,[0 .1 .2 .5]*2,[1 1 0 0]);h=firpm(44,[0 .3 .4 1],[0 .2 0 0],'differentiator');h=firpm(25,[0 .4 .5 1],[0 0 1 1],'h')"
firpmmex,unlisted,function,
firpmord,Digital Filter Design,function,"[N,Fo,Ao,W] = FIRPMORD(F,A,DEV,Fs);C = FIRPMORD(F,A,DEV,FS,'cell');[n,fo,mo,w] = firpmord([1500 2000], [1 0], [0.01 0.1], 8000);c = firpmord([1500 2000], [1 0], [0.01 0.1], 8000, 'cell')"
firrcos,unlisted,function,"B=FIRRCOS(N,Fc,DF,Fs);FIRRCOS(N,Fc,DF);B=FIRRCOS(N,Fc,R,Fs,'rolloff');B=FIRRCOS(N,Fc,DF,Fs,'bandwidth');B=FIRRCOS(N,Fc,DF,Fs,DESIGNTYPE);B=FIRRCOS(N,Fc,R,Fs,'rolloff',DESIGNTYPE);B=FIRRCOS(...,DESIGNTYPE,DELAY);B=FIRRCOS(...,DELAY,WINDOW);[B,A]=FIRRCOS(...);h = firrcos(20,0.25,0.25)"
firtype,Digital Filter Analysis,function,T = FIRTYPE(B);T = FIRTYPE(D);n = firtype(b1);n = firtype(b2);n = firtype(D)
flattopwin,Spectral Analysis,function,"FLATTOPWIN(N);FLATTOPWIN(N,SFLAG);w = flattopwin(64)"
framelbl,unlisted,function,"FLBL = FRAMELBL(LBL,FL);FLBL = FRAMELBL(...,InputLabelMode=MODE);FLBL = FRAMELBL(...,SignalLength=L);FLBL = FRAMELBL(...,SampleRate=Fs);FLBL = FRAMELBL(...,Categories=CAT);FLBL = FRAMELBL(...,ConsolidationMethod=CM);FLBL = FRAMELBL(...,PriorityList=PL);FLBL = FRAMELBL(...,OverlapLength=OL);FLBL = FRAMELBL(...,UnderlapLength=UL);FLBL = FRAMELBL(...,InitialCondition=IC);FLBL = FRAMELBL(...,InitialIndex=IDX);FLBL = FRAMELBL(...,IncompleteFrameRule=IFR);[FLBLW,FNLCOND] = FRAMELBL(...);[FLBL,FNLCOND,FNLIDX] = FRAMELBL(...);framedLabels = framelbl(catLbl,4)"
framesig,Signal Generation and Preprocessing,function,"XW = FRAMESIG(X,FL);XW = FRAMESIG(...,Window=WINDOW);XW = FRAMESIG(...,OverlapLength=OL);XW = FRAMESIG(...,UnderlapLength=UL);XW = FRAMESIG(...,InitialCondition=IC);XW = FRAMESIG(...,InitialIndex=IDX);XW = FRAMESIG(...,IncompleteFrameRule=IFR);XW = FRAMESIG(...,Dimension=DIM);[XW,FNLCOND] = FRAMESIG(...);[XW,FNLCOND,FNLIDX] = FRAMESIG(...);[xw,fc,fi] = framesig(x,10,OverlapLength=7)"
freqs,Analog Filters,function,"H = FREQS(B,A,W);FREQS(B,A,W);[H,W] = FREQS(B,A);FREQS(B,A,N);freqs(b,a,w);freqs(b,a)"
freqz,Digital Filter Analysis,function,"[H,W] = FREQZ(B,A,N);[H,W] = FREQZ(SOS,N);[H,W] = FREQZ(D,N);[H,W] = FREQZ(...,N,'whole');H = FREQZ(...,W);[H,F] = FREQZ(...,N,Fs);[H,F] = FREQZ(...,N,'whole',Fs);H = FREQZ(...,F,Fs);FREQZ(...);freqz(b);freqz(b,a);freqz(SOS);freqz(D,2048)"
freqz_freqvec,unlisted,function,
freqzparse,unlisted,function,"[NorW, UC, Fs, FsS] = freqzparse(varargin{:})"
freqzplot,unlisted,function,
fsst,Time-Frequency Analysis,function,"SST = FSST(X);[SST,W,S] = FSST(X);[SST,F,T] = FSST(X,Fs);[SST,F,T] = FSST(X,Ts);[...] = FSST(X,...,WINDOW);FSST(...);FSST(...,FREQLOCATION);fsst(x1+x2,fs,'yaxis');fsst(mtlb,Fs,hann(256),'yaxis')"
fwht,Transforms,function,"Y = FWHT(X);Y = FWHT(X,N);Y = FWHT(X,N,ORDERING);y = fwht(x);y = fwht(x,[],'hadamard')"
gauspuls,Signal Generation and Preprocessing,function,"YI=GAUSPULS(T,FC,BW);YI=GAUSPULS(T,FC,BW,BWR);[YI,YQ]=GAUSPULS(...);[YI,YQ,YE]=GAUSPULS(...);TC=GAUSPULS('cutoff',FC,BW,BWR,TPE);tc = gauspuls('cutoff',50E3,.6,[],-40);yi = gauspuls(t,50E3,.6)"
gaussdesign,Digital Filter Design,function,"H = GAUSSDESIGN(BT,SPAN,SPS);H = GAUSSDESIGN(BT);GAUSSDESIGN(BT,SPAN,SPS);H = GAUSSDESIGN(BT,SPAN);h = gaussdesign(bt,span,sps)"
gaussfir,unlisted,function,"H=GAUSSFIR(BT);H=GAUSSFIR(BT,NT);H=GAUSSFIR(BT,NT,OF);h = gaussfir(BT,NT,OF)"
gausswin,Spectral Analysis,function,"GAUSSWIN(N);GAUSSWIN(N, ALPHA);gausswin(N)"
genplotdata,unlisted,function,"[PD,MSG] = GENPLOTDATA(H,W,S)"
getinterpfrequencies,unlisted,function,"[UPN_OR_W, UPFACTOR, ISWHOLERANGE] = GETINTERPFREQUENCIES(N_OR_W, VARARGIN)"
getTranslatedString,unlisted,function,
getTranslatedStringcell,unlisted,function,
gmonopuls,Signal Generation and Preprocessing,function,"Y = GMONOPULS(T,FC);TC = GMONOPULS('cutoff',FC);tc = gmonopuls('cutoff', fc);y = gmonopuls(t,fc)"
goertzel,Transforms,function,"GOERTZEL(X,INDVEC);GOERTZEL(X,[],DIM);GOERTZEL(X,INDVEC,DIM);X = goertzel(x,indxs)"
grpdelay,Digital Filter Analysis,function,"[Gd,W] = GRPDELAY(B,A,N);[Gd,W] = GRPDELAY(SOS,N);[Gd,W] = GRPDELAY(D,N);[Gd,W] = GRPDELAY(...,N,'whole');[Gd,F] = GRPDELAY(...,N,Fs);[Gd,F] = GRPDELAY(...,N,'whole',Fs);Gd = GRPDELAY(...,W);Gd = GRPDELAY(..,F,Fs);GRPDELAY(...);grpdelay(b);grpdelay(b,a,512,'whole');grpdelay(SOS);grpdelay(D,2048)"
hamming,Spectral Analysis,function,"HAMMING(N);HAMMING(N,SFLAG);hamming(L)"
hampel,Digital Filtering,function,"Y = HAMPEL(X);Y = HAMPEL(X,K);Y = HAMPEL(X,K,NSIGMA);[Y,I] = HAMPEL(...);[Y,I,XMEDIAN,XSIGMA] = HAMPEL(...);HAMPEL(...);hampel(x);[y,i,xmedian,xsigma] = hampel(x)"
hann,Spectral Analysis,function,"HANN(N);HANN(N,SFLAG);hann(L)"
hanning,Spectral Analysis,function,"HANNING(N);HANNING(N,'symmetric');HANNING(N,'periodic')"
highpass,Digital Filtering,function,"Y = HIGHPASS(X,Wpass);Y = HIGHPASS(X,Fpass,Fs);YT = HIGHPASS(XT,Fpass);HIGHPASS(...,'Steepness',S);HIGHPASS(...,'StopbandAttenuation',A);HIGHPASS(...,'ImpulseResponse',R);[Y,D] = HIGHPASS(...);HIGHPASS(...);highpass(x,150,Fs);highpass(x,0.3);[y1, D1] = highpass(x,300,Fs,Steepness=0.5);[y2, D2] = highpass(x,300,Fs,Steepness=0.8);[y3, D3] = highpass(x,300,Fs,Steepness=0.95)"
hilbert,Transforms,function,"X = HILBERT(Xr);HILBERT(Xr,N);X = hilbert(Xr)"
icceps,Transforms,function,"ICCEPS(XHAT,ND);icceps(xh,nd)"
idct,GPU-accelerated signal processing functions,function,"X = IDCT(Y);X = IDCT(Y,N);X = IDCT(Y,[],DIM);X = IDCT(Y,N,DIM);X = IDCT(...,'Type',K);z = idct(y)"
ifsst,Time-Frequency Analysis,function,"XREC = IFSST(SST);XREC = IFSST(SST,WINDOW);XREC = IFSST(SST,WINDOW,F,FREQRANGE);XREC = IFSST(SST,WINDOW,IRIDGE);XREC = IFSST(SST,WINDOW,IRIDGE,'NumFrequencyBins',NBINS);xrec = ifsst(sst,[],iridge);xrec = ifsst(sst)"
ifwht,Transforms,function,"Y = IFWHT(X);Y = IFWHT(X,N);Y = IFWHT(X,N,ORDERING);xHat = ifwht(y)"
impinvar,Analog Filters,function,"[BZ,AZ] = IMPINVAR(B,A,Fs);[BZ,AZ] = IMPINVAR(B,A,Fs,TOL);[bz,az] = impinvar(b,a,10)"
impz,Digital Filter Analysis,function,"[H,T] = IMPZ(B,A);[H,T] = IMPZ(SOS);[H,T] = IMPZ(D);[H,T] = IMPZ(...,N);[H,T] = IMPZ(...,N,Fs);[H,T] = IMPZ(...,[],Fs);IMPZ(...);impz(b);impz(b,a);impz(SOS);impz(D,256)"
impzlength,Digital Filter Analysis,function,"L = IMPZLENGTH(B,A);L = IMPZLENGTH(SOS);L = IMPZLENGTH(D);L = IMPZLENGTH(...,TOL);impzlength(b);impzlength(b,a);impzlength(SOS);impzlength(D)"
instbw,Spectral Analysis,function,"IBW = INSTBW(X,Fs);IBW = INSTBW(X,Ts);IBW = INSTBW(X,Tv);IBW = INSTBW(TT);IBW = INSTBW(TFD,F,T);IBW = INSTBW(...,'FrequencyLimits',FLIMS);IBW = INSTBW(...,'ScaleFactor',SCALE);[IBW,T] = INSTBW(...);INSTBW(...);instbw(tfRandSignalTT);instbw(P,F,T)"
instfreq,Spectral Analysis,function,"IFREQ = INSTFREQ(X,Fs);IFREQ = INSTFREQ(X,Ts);IFREQ = INSTFREQ(X,Tv);IFREQ = INSTFREQ(TT);IFREQ = INSTFREQ(TFD,F,T);IFREQ = INSTFREQ(...,'Method',M);IFREQ = INSTFREQ(...,'FrequencyLimits',FLIMS);[IFREQ,T] = INSTFREQ(...);INSTFREQ(...);instfreq(xTable);instfreq(P,F,T);instfreq(y,Fs);instfreq(y,Fs,'Method','hilbert')"
interp,Multirate Signal Processing,function,"Y = INTERP(X,R);Y = INTERP(X,R,N,CUTOFF);[Y,B] = INTERP(X,R,N,CUTOFF);y = interp(x,4)"
intfilt,Digital Filter Design,function,"B = INTFILT(L,P,ALPHA);B = INTFILT(L,N,'Lagrange');b1 = intfilt(5,10,1);b2 = intfilt(5,10,.8)"
invfreqs,Signal Modeling,function,"[B,A] = INVFREQS(H,W,nb,na);[B,A]=INVFREQS(H,W,nb,na,Wt);[B,A] = INVFREQS(H,W,nb,na,Wt,ITER);[B,A]=INVFREQS(H,W,nb,na,Wt,ITER,TOL);[B,A]=INVFREQS(H,W,nb,na,Wt,ITER,TOL,'trace');[B,A] = INVFREQS(H,W,'complex',NB,NA,...);[bb,aa] = invfreqs(h,w,4,5);[bbb,aaa] = invfreqs(h,w,4,5,[],30)"
invfreqz,Signal Modeling,function,"[B,A] = INVFREQZ(H,W,NB,NA);[B,A] = INVFREQZ(H,W,NB,NA,Wt);[B,A] = INVFREQZ(H,W,NB,NA,Wt,ITER);[B,A]=INVFREQZ(H,W,NB,NA,Wt,ITER,TOL);[B,A] = INVFREQZ(H,W,NB,NA,Wt,ITER,TOL,'trace');[B,A] = INVFREQZ(H,W,'complex',NB,NA,...);[b1,a1] = invfreqz(h,w,4,5);[b2,a2] = invfreqz(h,w,4,5,[],30)"
is2rc,Signal Modeling,function,K = IS2RC(INV_SIN);k = is2rc(isin)
isallpass,Digital Filter Analysis,function,"FLAG = ISALLPASS(B,A);FLAG = ISALLPASS(SOS);FLAG = ISALLPASS(D);FLAG = ISALLPASS(...,TOL);flag_isallpass1 = isallpass(b,a);flag_isallpass = isallpass(b,a);flag_isallpass = isallpass(SOS)"
iscola,Time-Frequency Analysis,function,"tf = ISCOLA(window,noverlap);tf = ISCOLA(...,method);[tf,m] = ISCOLA(...);[tf,m,maxDeviation] = ISCOLA(...);tf = iscola(window,noverlap,method);[tf,m,maxDeviation] = iscola(window,noverlap)"
islinphase,Digital Filter Analysis,function,"FLAG = ISLINPHASE(B,A);FLAG = ISLINPHASE(SOS);FLAG = ISLINPHASE(D);FLAG = ISLINPHASE(...,TOL);flag = islinphase(SOS);flag = islinphase(b)"
ismaxphase,Digital Filter Analysis,function,"FLAG = ISMAXPHASE(B,A);FLAG = ISMAXPHASE(SOS);FLAG = ISMAXPHASE(D);FLAG = ISMAXPHASE(...,TOL);max_flag = ismaxphase(bmax);max_flag1 = ismaxphase(b,a);max_flag2 = ismaxphase(b,a,1e-3);max_flag = ismaxphase(SOS)"
isminphase,Digital Filter Analysis,function,"FLAG = ISMINPHASE(B,A);FLAG = ISMINPHASE(SOS);FLAG = ISMINPHASE(D);FLAG = ISMINPHASE(...,TOL);min_flag = isminphase(bmin);min_flag1 = isminphase(b,a);min_flag2 = isminphase(b,a,1e-3);min_flag = isminphase(SOS)"
isstable,Digital Filter Analysis,function,"FLAG = ISSTABLE(B,A);FLAG = ISSTABLE(SOS);FLAG = ISSTABLE(D);flag = isstable(b,a);act_flag1 = isstable(b,a);act_flag2 = isstable(single(b),single(a));flag = isstable(SOS)"
istft,Time-Frequency Analysis,function,"X = ISTFT(S);X = ISTFT(S,Fs);X = ISTFT(S,Ts);X = ISTFT(...,'Window',WINDOW);X = ISTFT(...,'OverlapLength',NOVERLAP);X = ISTFT(...,'FFTLength',NFFT);X = ISTFT(...,'Method',METHOD);X = ISTFT(...,'ConjugateSymmetric',CONJUGATESYMMETRIC);X = ISTFT(...,'FrequencyRange',FREQRANGE);X = ISTFT(...,'InputTimeDimension',TIMEDIMENSION);[X,T] = ISTFT(...);[X,T] = istft(S,fs,'Window',win,'OverlapLength',75)"
kaiser,Spectral Analysis,function,"W = KAISER(N);W = KAISER(N,BTA);w = kaiser(200,2.5)"
kaiserord,Digital Filter Design,function,"[N,Wn,BTA,FILTYPE] = KAISERORD(F,A,DEV,Fs);C = KAISERORD(F,A,DEV,Fs,'cell');[n,Wn,bta,filtype] = kaiserord([1500 2000], [1 0], [0.01 0.1], 8000);c = kaiserord([1500 2000], [1 0], [0.01 0.1], 8000, 'cell')"
kratio,unlisted,function,"KRATIO(m,krat)"
kurtogram,Time-Frequency Analysis,function,"KGRAM = KURTOGRAM(X);KGRAM = KURTOGRAM(X, Fs);KGRAM = KURTOGRAM(X, Ts);KGRAM = KURTOGRAM(X, Tv);KGRAM = KURTOGRAM(..., LEVEL);[KGRAM, F, W, FC, WC, BW] = KURTOGRAM(...);KURTOGRAM(...);kurtogram(x);kurtogram(xt);kurtogram(x, fs, level);kurtogram(x, fs)"
lar2rc,Signal Modeling,function,K = LAR2RC(G);k = lar2rc(g)
latc2tf,Digital Filtering,function,"[NUM,DEN] = LATC2TF(K,V);[NUM,DEN] = LATC2TF(K,'allpole');[NUM,DEN] = LATC2TF(K,'allpass');NUM = LATC2TF(K);NUM = LATC2TF(K,'fir');NUM = LATC2TF(K,'min');NUM = LATC2TF(K,'max');bmax = latc2tf(k,'max')"
latcfilt,Digital Filtering,function,"[F,G] = LATCFILT(K,X);[F,G,Zf] = LATCFILT(K,X,'ic',Zi);[F,G] = LATCFILT(K,1,X);[F,G,Zf] = LATCFILT(K,1,X,'ic',Zi);[F,G] = LATCFILT(K,V,X);[F,G,Zf] = LATCFILT(K,V,X,'ic',Zi);[F,G,Zf] = LATCFILT(K,V,X,'ic',Zi,DIM);[f,g]=latcfilt([1/2 1],x)"
levinson,Signal Modeling,function,"A = LEVINSON(R,N);[A,E] = LEVINSON(...);[A,E,K] = LEVINSON(...);ar = levinson(r,numel(a)-1)"
local_max,unlisted,function,k = local_max(x)
lowpass,Digital Filtering,function,"Y = LOWPASS(X,Wpass);Y = LOWPASS(X,Fpass,Fs);YT = LOWPASS(XT,Fpass);LOWPASS(...,'Steepness',S);LOWPASS(...,'StopbandAttenuation',A);LOWPASS(...,'ImpulseResponse',R);[Y,D] = LOWPASS(...);LOWPASS(...);lowpass(x,150,Fs);lowpass(x,0.3);[y1, D1] = lowpass(x,300,Fs,Steepness=0.5);[y2, D2] = lowpass(x,300,Fs,Steepness=0.8);[y3, D3] = lowpass(x,300,Fs,Steepness=0.95)"
lp2bp,Analog Filters,function,"[NUMT,DENT] = LP2BP(NUM,DEN,Wo,Bw);[AT,BT,CT,DT] = LP2BP(A,B,C,D,Wo,Bw);[num,den] = lp2bp(b,a,Wo,Bw)"
lp2bs,Analog Filters,function,"[NUMT,DENT] = LP2BS(NUM,DEN,Wo,Bw);[AT,BT,CT,DT] = LP2BS(A,B,C,D,Wo,Bw);[num,den] = lp2bs(b,a,Wo,Bw)"
lp2hp,Analog Filters,function,"[NUMT,DENT] = LP2HP(NUM,DEN,Wo);[AT,BT,CT,DT] = LP2HP(A,B,C,D,Wo);[num,den] = lp2hp(b,a,Wo)"
lp2lp,Analog Filters,function,"[NUMT,DENT] = LP2LP(NUM,DEN,Wo);[AT,BT,CT,DT] = LP2LP(A,B,C,D,Wo);[num,den] = lp2lp(b,a,Wo)"
lpc,Signal Modeling,function,"A = LPC(X,N);[A,E] = LPC(X,N);a = lpc(x,3)"
lsf2poly,Signal Modeling,function,A = LSF2POLY(LSF);a = lsf2poly(lsf)
marcumq,Signal Generation and Preprocessing,function,"MARCUMQ(A,B,M);MARCUMQ(A,B);y = marcumq(10,20)"
maxflat,Digital Filter Design,function,"[B,A] = MAXFLAT(NB,NA,Wn);B = MAXFLAT(NB,'sym',Wn);[B,A,B1,B2] = MAXFLAT(NB,NA,Wn);[B,A,B1,B2] = MAXFLAT(NB,'sym',Wn);[B,A,B1,B2,SOS,G] = MAXFLAT(NB,NA,Wn);MAXFLAT(NB,NA,Wn,'trace');MAXFLAT(NB,NA,Wn,'plots');[b,a,b1,b2] = maxflat(NB,NA,Wn);h = maxflat(NB,'sym',Wn)"
meanfreq,Measurements and Feature Extraction,function,"FREQ = MEANFREQ(X);FREQ = MEANFREQ(X, Fs);FREQ = MEANFREQ(Pxx, F);FREQ = MEANFREQ(Sxx, F, RBW);FREQ = MEANFREQ(..., FREQRANGE);[FREQ,POWER] = MEANFREQ(...);MEANFREQ(...);meanfreq(x,Fs);meanfreq(Pxx,F)"
medfilt1,Digital Filtering,function,"Y = MEDFILT1(X);Y = MEDFILT1(X,N);Y = MEDFILT1(...,MISSING);Y = MEDFILT1(...,PADDING);Y = MEDFILT1(X,N,BLKSZ,DIM);MEDFILT1(X,N,[],DIM);y = medfilt1(x,10)"
medfreq,Measurements and Feature Extraction,function,"FREQ = MEDFREQ(X);FREQ = MEDFREQ(X, Fs);FREQ = MEDFREQ(Pxx, F);FREQ = MEDFREQ(Sxx, F, RBW);FREQ = MEDFREQ(..., FREQRANGE);[FREQ,PWR] = MEDFREQ(...);MEDFREQ(...);medfreq(x,Fs);medfreq(Pxx,F)"
mergesigroi,Measurements and Feature Extraction,function,"ROILIMSOUT = mergesigroi(ROILIMS,S);roiMatrixMerged = mergesigroi(roiMatrix,5);roiMatrix = mergesigroi(roiMatrix,0)"
midcross,Measurements and Feature Extraction,function,"C = MIDCROSS(X);C = MIDCROSS(X,Fs);C = MIDCROSS(X,T);C = MIDCROSS(...,'Tolerance',TOL);C = MIDCROSS(...,'MidPercentReferenceLevel',L);C = MIDCROSS(...,'StateLevels',SL);[C, MIDLEV] = MIDCROSS(...);MIDCROSS(...);midcross(x, t);y = midcross(x, 4e6)"
modalfit,Vibration Analysis,function,"FN = MODALFIT(FRF,F,Fs,MNUM);FN = MODALFIT(FRF,F,Fs,MNUM,...,'FitMethod',FM);FN = MODALFIT(FRF,F,Fs,MNUM,...,'FitMethod','lsrf','Feedthrough', FT);FN = MODALFIT(FRF,F,Fs,MNUM,...'FreqRange',FR);[FN,DR] = MODALFIT(FRF,F,Fs,MNUM,...);[FN,DR,MS] = MODALFIT(FRF,F,Fs,MNUM,...);[FN,DR,MS] = MODALFIT(FRF,F,Fs,MNUM,...,'PhysFreq',PF);[FN,DR,MS] = MODALFIT(FRF,F,Fs,MNUM,...,'DriveIndex',DI);[FN,DR,MS,OFRF] = MODALFIT(FRF,F,Fs,MNUM,...);[FN, DR, MS, OFRF] = MODALFIT(SYS, F, MNUM, ...);fn = modalfit(FRF,f,fs,2,'FitMethod','PP');modalfit(FRF,f,fs,2,'FitMethod','PP');[fn,dr,ms] = modalfit(FRF,f,fs,6,'PhysFreq',fn(6,1:3));[fn,dr,ms,ofrf] = modalfit(FRF,f,fs,24,'FitMethod','lsrf')"
modalfrf,Vibration Analysis,function,"FRF = MODALFRF(X,Y,Fs,WINDOW);FRF = MODALFRF(X,Y,Fs,WINDOW,NOVERLAP);FRF = MODALFRF(X,Y,...,'Measurement',MT);FRF = MODALFRF(X,Y,...,'Sensor',SE);FRF = MODALFRF(X,Y,...,'Estimator',ES);FRF = MODALFRF(X,Y,...,'Order', NX);FRF = MODALFRF(X,Y,...,'Feedthrough', FT);[FRF,F] = MODALFRF(X,Y,Fs,...);[FRF,F,COH] = MODALFRF(X,Y,Fs,...);MODALFRF(X,Y,Fs,...);[FRF,F] = MODALFRF(SYS);[FRF, F] = MODALFRF(SYS, F);[FRF, F] = MODALFRF(SYS,..., 'Sensor', SE);modalfrf(Xhammer(:),Yhammer(:),fs,winlen,'Sensor','dis');[FRF,f] = modalfrf(X,Y,fs,1000,'Estimator','subspace','Order',36)"
modalsd,Vibration Analysis,function,"MODALSD(FRF,F,Fs);MODALSD(FRF,F,Fs,...,'MaxModes',MM);MODALSD(FRF,F,Fs,...,'FreqRange',FR);MODALSD(FRF,F,Fs,...,'SCriteria',SC);FN = MODALSD(FRF,F,Fs,...,'FitMethod', FM);FN = MODALSD(FRF,F,Fs,...);modalsd(FRF,f,fs,'MaxModes',20,'FitMethod','lsrf');fn = modalsd(FRF,f,fs,'MaxModes',30)"
modulate,Signal Generation and Preprocessing,function,"Y = MODULATE(X,Fc,Fs,METHOD,OPT);[Y,T] = MODULATE(...);y = modulate(s,3e3,Fs,'fm',0.1)"
mscohere,Spectral Analysis,function,"Cxy = MSCOHERE(X,Y);MSCOHERE(X(:,n),Y(:,n));Cxy = MSCOHERE(X,Y,WINDOW);Cxy = MSCOHERE(X,Y,WINDOW,NOVERLAP);[Cxy,W] = MSCOHERE(X,Y,WINDOW,NOVERLAP,NFFT);[Cxy,W] = MSCOHERE(X,Y,WINDOW,NOVERLAP,W);[Cxy,F] = MSCOHERE(X,Y,WINDOW,NOVERLAP,NFFT,Fs);[Cxy,F] = MSCOHERE(X,Y,WINDOW,NOVERLAP,F,Fs);[...] = MSCOHERE(...,'mimo');[...] = MSCOHERE(...,FREQRANGE);MSCOHERE(...);mscohere(x,y,hann(nfft),noverlap,nfft);mscohere(x,y,hann(nfft),noverlap,nfft,'mimo')"
nuttallwin,Spectral Analysis,function,"NUTTALLWIN(N);NUTTALLWIN(N,SFLAG);w = nuttallwin(N)"
obw,Measurements and Feature Extraction,function,"BW = OBW(X);BW = OBW(X, Fs);BW = OBW(Pxx, F);BW = OBW(Sxx, F, RBW);BW = OBW(...,FREQLIMS);BW = OBW(...,FREQLIMS,P);[BW, Flo, Fhi] = OBW(...);[BW, Flo, Fhi, POWER] = OBW(...);OBW(...);obw(x,Fs)"
orderspectrum,Vibration Analysis,function,"SPEC = ORDERSPECTRUM(X,Fs,RPM);[SPEC,ORDER] = ORDERSPECTRUM(X,Fs,RPM);[...] = ORDERSPECTRUM(MAP,ORDER);[...] = ORDERSPECTRUM(MAP,ORDER,'Amplitude',AMP);ORDERSPECTRUM(...);orderspectrum(vib,fs,rpm);orderspectrum(map,order)"
ordertrack,Vibration Analysis,function,"MAG = ORDERTRACK(X,Fs,RPM,ORDERLIST);[MAG,RPM,TIME] = ORDERTRACK(X,Fs,RPM,ORDERLIST);[...] = ORDERTRACK(MAP,ORDER,RPM,TIME,ORDERLIST);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,RPMREFIDX);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,...,'Amplitude',AMP);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,...,'Scale',SCALE);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,RPMREFIDX,...,'Bandwidth',BW);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,RPMREFIDX,...,'Decouple',DC);[...] = ORDERTRACK(X,Fs,RPM,ORDERLIST,RPMREFIDX,...,'SegmentLength',SL);ORDERTRACK(...);ordertrack(map,order,rpmOut,time,[0.052 0.066 0.264]);ordertrack(x,Fs,rpm,[1 0.5 4 6]);ordertrack(map,order,rpmOut,timeOut,orderlist)"
orderwaveform,Vibration Analysis,function,"XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST);XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST,RPMREFIDX);XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST,...,'Bandwidth',BW);XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST,...,'FilterOrder',FO);XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST,...,'Decouple',DC);XREC = ORDERWAVEFORM(X,Fs,RPM,ORDERLIST,...,'SegmentLength',SL);xrec = orderwaveform(vib,fs,rpm,[0.052 0.066 0.264]);xrec = orderwaveform(x,Fs,rpm,4);xrec = orderwaveform(x,Fs,rpm,4,'SegmentLength',1001)"
overshoot,Measurements and Feature Extraction,function,"OS = OVERSHOOT(X);OS = OVERSHOOT(X,Fs);OS = OVERSHOOT(X,T);OS = OVERSHOOT(...,'Region',REGION);OS = OVERSHOOT(...,'SeekFactor',FACTOR);OS = OVERSHOOT(...,'Tolerance',TOL);OS = OVERSHOOT(...,'PercentReferenceLevels',PRL);OS = OVERSHOOT(...,'StateLevels',SL);[OS,OSLEV,OSINST] = OVERSHOOT(...);OVERSHOOT(...);overshoot(x, t);y = overshoot(x, 4e6)"
parzenwin,Spectral Analysis,function,PARZENWIN(N);parzenwin(64)
