name,section,kind,forms
cconv,Correlation and Convolution,function,"C = CCONV(A, B, N);c = cconv(a,b,4);c = cconv(a,b,11);c = cconv(a,conj(fliplr(b)),7)"
cell2sos,Digital Filtering,function,"S = CELL2SOS(C);[S,G] = CELL2SOS(C);s = cell2sos(c);[s,g] = cell2sos(c)"
cfirpm,Digital Filter Design,function,"B = CFIRPM(N,F,A,W);B = CFIRPM(N,F,@fresp,W);B = CFIRPM(N,F,{@fresp,P1,P2,...},W);B = CFIRPM(N,F,{@multiband,A},W);B = CFIRPM(..., SYM);B = CFIRPM(..., 'skip_stage2');B = CFIRPM(..., DEBUG);B = CFIRPM(...,{LGRID});[B,ERR] = CFIRPM(...);[B,ERR,RES] = CFIRPM(...);b = cfirpm(30,[-1 -.5 -.4 .7 .8 1],@lowpass);[b,del,res] = cfirpm(64,[0 0.3 0.4 1],{@invsinc,3},[1,1],'even');b = cfirpm(30,[-1 -.5 -.4 .7 .8 1],{@multiband,[0 0 1 2 0 0]})"
cheb1ap,Analog Filters,function,"[Z,P,K] = CHEB1AP(N,Rp);[z,p,k]=cheb1ap(6,3)"
cheb1ord,Digital Filter Design,function,"[N, Wp] = CHEB1ORD(Wp, Ws, Rp, Rs);[N, Wp] = CHEB1ORD(Wp, Ws, Rp, Rs, 's');[n,Wp] = cheb1ord(Wp,Ws,Rp,Rs)"
cheb2ap,Analog Filters,function,"[Z,P,K] = CHEB2AP(N,Rs);[z,p,k]=cheb2ap(6,70)"
cheb2ord,Digital Filter Design,function,"[N, Ws] = CHEB2ORD(Wp, Ws, Rp, Rs);[N, Ws] = CHEB2ORD(Wp, Ws, Rp, Rs, 's');[n,Ws] = cheb2ord(Wp,Ws,Rp,Rs)"
chebwin,Spectral Analysis,function,"CHEBWIN(N);CHEBWIN(N,R);chebwin(L)"
cheby1,Analog Filters,function,"[B,A] = CHEBY1(N,R,Wp);CHEBY1(N,R,Wp,'high');CHEBY1(N,R,Wp,'low');CHEBY1(N,R,Wp,'stop');[Z,P,K] = CHEBY1(...);[A,B,C,D] = CHEBY1(...);CHEBY1(N,R,Wp,'s');CHEBY1(N,R,Wp,'high','s');CHEBY1(N,R,Wp,'stop','s');[z,p,k] = cheby1(9,5,Wn);[b2,a2]=cheby1(2,3,[.2,.5])"
cheby2,Analog Filters,function,"[B,A] = CHEBY2(N,R,Wst);CHEBY2(N,R,Wst,'high');CHEBY2(N,R,Wst,'low');CHEBY2(N,R,Wst,'stop');[Z,P,K] = CHEBY2(...);[A,B,C,D] = CHEBY2(...);CHEBY2(N,R,Wst,'s');CHEBY2(N,R,Wst,'high','s');CHEBY2(N,R,Wst,'stop','s');[z,p,k] = cheby2(9,40,Wn);[b2,a2]=cheby2(6,80,[.2,.5])"
ChkIfBlockReusable,unlisted,function,
cohere,unlisted,function,
completefreqresp,unlisted,function,
computepsd,unlisted,function,"[Pxx,W,UNITS] = COMPUTEPSD(Sxx,W,RANGE,NFFT,Fs,ESTTYPE)"
convmtx,Correlation and Convolution,function,"A = CONVMTX(H,N);convmtx(h,7)"
corrmtx,Correlation and Convolution,function,"X = CORRMTX(S,M);X = CORRMTX(S,M,METHOD);[X,R] = CORRMTX(...);X = corrmtx(sig,12,'mod')"
cpsd,Spectral Analysis,function,"Pxy = CPSD(X,Y);CPSD(X(:,n),Y(:,n));Pxy = CPSD(X,Y,WINDOW);Pxy = CPSD(X,Y,WINDOW,NOVERLAP);[Pxy,W] = CPSD(X,Y,WINDOW,NOVERLAP,NFFT);[Pxy,W] = CPSD(X,Y,WINDOW,NOVERLAP,W);[Pxy,F] = CPSD(X,Y,WINDOW,NOVERLAP,NFFT,Fs);[Pxy,F] = CPSD(X,Y,WINDOW,NOVERLAP,F,Fs);[...] = CPSD(...,'mimo');[...] = CPSD(...,FREQRANGE);CPSD(...);cpsd(x,y,[],[],[],Fs,'twosided');cpsd(x,y,[],[],[],Fs,'mimo')"
cremez,unlisted,function,
crmz_grid,unlisted,function,"CRMZ_GRID(Edge_Pairs, L, fdomain, grid_density)"
csd,unlisted,function,
cusum,Measurements and Feature Extraction,function,"[IUPPER, ILOWER] = CUSUM(X);[IUPPER, ILOWER] = CUSUM(X, CLIMIT);[IUPPER, ILOWER] = CUSUM(X, CLIMIT, MSHIFT);[IUPPER, ILOWER] = CUSUM(X, CLIMIT, MSHIFT, TMEAN);[IUPPER, ILOWER] = CUSUM(X, CLIMIT, MSHIFT, TMEAN, TDEV);[IUPPER, ILOWER] = CUSUM(...,'all');[IUPPER, ILOWER, UPPERSUM, LOWERSUM] = CUSUM(...);CUSUM(...);cusum(x)"
czt,Transforms,function,"G = CZT(X, M, W, A);CZT(X);z = czt(h,m,w,a)"
datawrap,unlisted,function,"DATAWRAP(X,NFFT)"
db,Spectral Analysis,function,"DB(X);DB(X,U);DB(X,R);DB(X,U,R);dB (1 Ohm ref.);db(.1);dB (50 Ohm ref.);db(sqrt(.5),50);db(1e-3,'power')"
db2pow,Spectral Analysis,function,Y = DB2POW(YDB);y = db2pow(12)
dct,GPU-accelerated signal processing functions,function,"Y = DCT(X);Y = DCT(X,N);Y = DCT(X,[],DIM);Y = DCT(X,N,DIM);Y = DCT(...,'Type',K);X = dct(x)"
decimate,Multirate Signal Processing,function,"Y = DECIMATE(X,R);Y = DECIMATE(X,R,N);Y = DECIMATE(X,R,'FIR');Y = DECIMATE(X,R,N,'FIR');y = decimate(x,4)"
