label,class,verdict,documented,implemented,missing
bar,matlab.graphics.chart.primitive.Bar,ok,44,18,Annotation BarLayout BaseLine BeingDeleted BusyAction ButtonDownFcn CData Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn EdgeAlpha FaceColorMode HitTest Interruptible PickableParts Selected SelectionHighlight SeriesIndex ShowBaseLine XDataMode XDataSource XEndPoints YDataSource YEndPoints
histogram,matlab.graphics.chart.primitive.Histogram,ok,46,10,Annotation BarWidth BeingDeleted BinCounts BinCountsMode BinEdges BinLimits BinLimitsMode BinMethod BinWidth BusyAction ButtonDownFcn Categories ContextMenu CreateFcn Data DataTipTemplate DeleteFcn DisplayOrder DisplayStyle EdgeAlpha FaceAlpha FaceColor HitTest Interruptible LineStyle LineWidth NumBins NumDisplayBins Orientation PickableParts Selected SelectionHighlight SeriesIndex ShowOthers Values
area,matlab.graphics.chart.primitive.Area,ok,39,17,AlignVertexCenters Annotation BaseLine BeingDeleted BusyAction ButtonDownFcn Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn EdgeAlpha FaceColorMode HitTest Interruptible PickableParts Selected SelectionHighlight SeriesIndex XDataMode XDataSource YDataSource
stair,matlab.graphics.chart.primitive.Stair,ok,38,15,Annotation BeingDeleted BusyAction ButtonDownFcn Clipping ColorMode ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LineStyleMode MarkerEdgeColor MarkerFaceColor MarkerMode PickableParts Selected SelectionHighlight SeriesIndex XDataMode XDataSource YDataSource
stem,matlab.graphics.chart.primitive.Stem,ok,43,15,Annotation BaseLine BeingDeleted BusyAction ButtonDownFcn Clipping ColorMode ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LineStyle LineStyleMode MarkerEdgeColor MarkerFaceColor MarkerMode PickableParts Selected SelectionHighlight SeriesIndex ShowBaseLine XDataMode XDataSource YDataSource ZData ZDataSource
errorbar,matlab.graphics.chart.primitive.ErrorBar,ok,52,15,AlignVertexCenters Annotation BeingDeleted BusyAction ButtonDownFcn Clipping ColorMode ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LData LDataSource LineStyle LineStyleMode MarkerEdgeColor MarkerFaceColor MarkerMode PickableParts Selected SelectionHighlight SeriesIndex UData UDataSource XDataMode XDataSource XNegativeDelta XNegativeDeltaSource XPositiveDelta XPositiveDeltaSource YDataSource YNegativeDelta YNegativeDeltaSource YPositiveDelta YPositiveDeltaSource
contour,matlab.graphics.chart.primitive.Contour,ok,46,14,Annotation BeingDeleted BusyAction ButtonDownFcn Clipping ContextMenu ContourMatrix CreateFcn DataTipTemplate DeleteFcn Fill HitTest Interruptible LabelSpacing LevelListMode LevelStep LevelStepMode LineColor LineStyle PickableParts Selected SelectionHighlight TextList TextListMode TextStep TextStepMode XDataMode XDataSource YDataMode YDataSource ZDataSource ZLocation
quiver,matlab.graphics.chart.primitive.Quiver,ok,52,20,AlignVertexCenters Annotation BeingDeleted BusyAction ButtonDownFcn Clipping ColorMode ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LineStyle LineStyleMode Marker MarkerEdgeColor MarkerFaceColor MarkerMode MarkerSize PickableParts Selected SelectionHighlight SeriesIndex UDataSource VDataSource WDataSource XDataMode XDataSource YDataMode YDataSource ZDataSource
image,matlab.graphics.primitive.Image,ok,27,7,AlphaData AlphaDataMapping BeingDeleted BusyAction ButtonDownFcn CData CDataMapping Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interpolation Interruptible PickableParts Selected SelectionHighlight XData YData
constantline,matlab.graphics.chart.decoration.ConstantLine,ok,35,17,Annotation BeingDeleted BusyAction ButtonDownFcn ContextMenu CreateFcn DeleteFcn FontAngle FontName FontSize FontWeight HitTest Interpreter Interruptible LabelOrientation PickableParts Selected SelectionHighlight
boxchart,matlab.graphics.chart.primitive.BoxChart,ok,29,22,Annotation BoxFaceColorMode DataTipTemplate HitTest MarkerColorMode PickableParts SeriesIndex
heatmap,matlab.graphics.chart.HeatmapChart,ok,39,20,ColorDisplayData ColorMethod ColorVariable FontName InnerPosition Layout OuterPosition Position PositionConstraint SourceTable Units XDisplayData XDisplayLabels XLimits XVariable YDisplayData YDisplayLabels YLimits YVariable
bubblechart,matlab.graphics.chart.primitive.BubbleChart,ok,73,21,AlphaData AlphaDataMapping AlphaDataMode AlphaVariable Annotation BeingDeleted BusyAction ButtonDownFcn CDataMode CDataSource Clipping ColorVariable ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LatitudeData LatitudeDataSource LatitudeVariable LongitudeData LongitudeDataSource LongitudeVariable PickableParts RData RDataMode RDataSource RVariable Selected SelectionHighlight SeriesIndex SizeDataMode SizeDataSource SizeVariable SourceTable ThetaData ThetaDataMode ThetaDataSource ThetaVariable XDataMode XDataSource XVariable YDataMode YDataSource YVariable ZData ZDataMode ZDataSource ZJitter ZJitterWidth ZVariable
light,matlab.graphics.primitive.Light,ok,21,10,BeingDeleted BusyAction ButtonDownFcn ContextMenu CreateFcn DeleteFcn HitTest Interruptible PickableParts Selected SelectionHighlight
bubblelegend,matlab.graphics.illustration.BubbleLegend,ok,37,15,BeingDeleted BubbleSizeOrder BusyAction ButtonDownFcn Color ContextMenu CreateFcn DeleteFcn EdgeColor FontAngle FontName FontWeight HitTest Interpreter Interruptible Layout LineWidth PickableParts Selected SelectionHighlight TextColor Units
pie,matlab.graphics.primitive.Patch,ok,56,11,AlignVertexCenters AlphaDataMapping AmbientStrength Annotation BackFaceLighting BeingDeleted BusyAction ButtonDownFcn CData CDataMapping Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn DiffuseStrength EdgeAlpha EdgeLighting FaceColor FaceLighting FaceNormals FaceNormalsMode FaceVertexAlphaData FaceVertexCData Faces HitTest Interruptible LineJoin LineStyle Marker MarkerEdgeColor MarkerFaceColor MarkerSize PickableParts Selected SelectionHighlight SpecularColorReflectance SpecularExponent SpecularStrength VertexNormals VertexNormalsMode Vertices XData YData ZData
