name,kind,folder,graphics,form_index,syntax,name_value
tar,function,archive,no,2,entrynames = tar(___),no
tcpipExplorer,function,tcpclientapp,no,0,tcpipExplorer,no
tempdir,function,iofun,no,0,temp = tempdir,no
tempname,function,iofun,no,0,tmpName = tempname,no
tempname,function,iofun,no,1,tmpName = tempname(folderName),no
testrunner,function,core,no,0,runner = testrunner,no
testrunner,function,core,no,1,runner = testrunner('minimal'),no
testrunner,function,core,no,2,runner = testrunner('textoutput'),no
testsuite,function,core,no,0,suite = testsuite,no
testsuite,function,core,no,1,suite = testsuite(tests),no
testsuite,function,core,no,2,"suite = testsuite(tests,Name,Value)",yes
tetramesh,function,specgraph,yes,0,"tetramesh(T,X)",no
tetramesh,function,specgraph,yes,1,tetramesh(TR),no
tetramesh,function,specgraph,yes,2,"tetramesh(___,c)",no
tetramesh,function,specgraph,yes,3,"tetramesh(___,Name,Value)",yes
tetramesh,function,specgraph,yes,4,h = tetramesh(___),no
texlabel,function,graph2d,yes,0,txt = texlabel(f),no
texlabel,function,graph2d,yes,1,"txt = texlabel(f,'literal')",no
text,builtin,primitive,yes,0,"text(x,y,txt)",no
text,builtin,primitive,yes,1,"text(x,y,z,txt)",no
text,builtin,primitive,yes,2,"text(___,Name,Value)",yes
text,builtin,primitive,yes,3,"text(ax,___)",no
text,builtin,primitive,yes,4,t = text(___),no
textBoundary,builtin,pattern,no,0,pat = textBoundary,no
textBoundary,builtin,pattern,no,1,pat = textBoundary(type),no
textread,function,iofun,no,0,"[Var1,Var2,...,VarN] = textread(filename,format)",no
textread,function,iofun,no,1,"[Var1,Var2,...,VarN] = textread(filename,format,N)",no
textread,function,iofun,no,2,"[Var1,Var2,...,VarN] = textread(___,Name,Value)",yes
textscan,builtin,iofun,no,0,"C = textscan(fileID,formatSpec)",no
textscan,builtin,iofun,no,1,"C = textscan(fileID,formatSpec,N)",no
textscan,builtin,iofun,no,2,"C = textscan(chr,formatSpec)",no
textscan,builtin,iofun,no,3,"C = textscan(chr,formatSpec,N)",no
textscan,builtin,iofun,no,4,"C = textscan(___,Name,Value)",yes
textscan,builtin,iofun,no,5,"[C,position] = textscan(___)",no
textwrap,function,uitools,no,0,"wrappedtext = textwrap(c,txt)",no
textwrap,function,uitools,no,1,"wrappedtext = textwrap(c,txt,numchar)",no
textwrap,function,uitools,no,2,"[wrappedtext,position] = textwrap(___)",no
tfqmr,function,sparfun,no,0,"x = tfqmr(A,b)",no
tfqmr,function,sparfun,no,1,"x = tfqmr(A,b,tol)",no
tfqmr,function,sparfun,no,2,"x = tfqmr(A,b,tol,maxit)",no
tfqmr,function,sparfun,no,3,"x = tfqmr(A,b,tol,maxit,M)",no
tfqmr,function,sparfun,no,4,"x = tfqmr(A,b,tol,maxit,M1,M2)",no
tfqmr,function,sparfun,no,5,"x = tfqmr(A,b,tol,maxit,M1,M2,x0)",no
tfqmr,function,sparfun,no,6,"[x,flag] = tfqmr(___)",no
tfqmr,function,sparfun,no,7,"[x,flag,relres] = tfqmr(___)",no
tfqmr,function,sparfun,no,8,"[x,flag,relres,iter] = tfqmr(___)",no
tfqmr,function,sparfun,no,9,"[x,flag,relres,iter,resvec] = tfqmr(___)",no
thetalim,function,graph3d,yes,0,thetalim(limits),no
thetalim,function,graph3d,yes,1,thetalim('auto'),no
thetalim,function,graph3d,yes,2,thetalim('manual'),no
thetalim,function,graph3d,yes,3,tl = thetalim,no
thetalim,function,graph3d,yes,4,m = thetalim('mode'),no
thetalim,function,graph3d,yes,5,"___ = thetalim(pax,___)",no
thetatickformat,function,graph3d,yes,0,thetatickformat(fmt),no
thetatickformat,function,graph3d,yes,1,"thetatickformat(pax,___)",no
thetatickformat,function,graph3d,yes,2,tfmt = thetatickformat,no
thetatickformat,function,graph3d,yes,3,tfmt = thetatickformat(pax),no
thetaticklabels,function,graph3d,yes,0,thetaticklabels(labels),no
thetaticklabels,function,graph3d,yes,1,tl = thetaticklabels,no
thetaticklabels,function,graph3d,yes,2,thetaticklabels('auto'),no
thetaticklabels,function,graph3d,yes,3,thetaticklabels('manual'),no
thetaticklabels,function,graph3d,yes,4,m = thetaticklabels('mode'),no
thetaticklabels,function,graph3d,yes,5,"___ = thetaticklabels(pax,___)",no
thetaticks,function,graph3d,yes,0,thetaticks(ticks),no
thetaticks,function,graph3d,yes,1,tv = thetaticks,no
thetaticks,function,graph3d,yes,2,thetaticks('auto'),no
thetaticks,function,graph3d,yes,3,thetaticks('manual'),no
thetaticks,function,graph3d,yes,4,m = thetaticks('mode'),no
thetaticks,function,graph3d,yes,5,"___ = thetaticks(pax,___)",no
thingSpeakRead,function,connectivity,no,0,data = thingSpeakRead(channelID),no
thingSpeakRead,function,connectivity,no,1,"data = thingSpeakRead(channelID,Name,Value)",yes
thingSpeakRead,function,connectivity,no,2,"data = thingSpeakRead(___,'ReadKey','channel Read API key')",no
thingSpeakRead,function,connectivity,no,3,"[data,timestamps] = thingSpeakRead(___)",no
thingSpeakRead,function,connectivity,no,4,"[data,timestamps,channelInfo] = thingSpeakRead(___)",no
thingSpeakWrite,function,connectivity,no,0,"thingSpeakWrite(channelID,data,'WriteKey','channel write API key')",no
thingSpeakWrite,function,connectivity,no,1,"thingSpeakWrite(___,Name,Value)",yes
thingSpeakWrite,function,connectivity,no,2,response = thingSpeakWrite(___),no
tic,builtin,timefun,no,0,tic,no
tic,builtin,timefun,no,1,timerVal = tic,no
tiledlayout,function,graphics,yes,0,"tiledlayout(m,n)",no
tiledlayout,function,graphics,yes,1,tiledlayout('flow'),no
tiledlayout,function,graphics,yes,2,"tiledlayout(___,Name,Value)",yes
tiledlayout,function,graphics,yes,3,"tiledlayout(parent,___)",no
tiledlayout,function,graphics,yes,4,t = tiledlayout(___),no
timeit,function,timefun,no,0,t = timeit(f),no
timeit,function,timefun,no,1,"t = timeit(f,numOutputs)",no
timerange,function,tabular,no,0,"S = timerange(startTime,endTime)",no
timerange,function,tabular,no,1,"S = timerange(startTime,endTime,intervalType)",no
timerange,function,tabular,no,2,"S = timerange(startPeriod,endPeriod,unitOfTime)",no
timerange,function,tabular,no,3,"S = timerange(timePeriod,unitOfTime)",no
times,builtin,ops,no,0,C = A.*B,no
times,builtin,ops,no,1,"C = times(A,B)",no
timeseries2timetable,function,tabular,no,0,TT = timeseries2timetable(ts),no
timeseries2timetable,function,tabular,no,1,"TT = timeseries2timetable(ts1,...,tsN)",no
timetable2table,function,tabular,no,0,T = timetable2table(TT),no
timetable2table,function,tabular,no,1,"T = timetable2table(TT,'ConvertRowTimes',false)",no
timezones,function,datetime_nonlibmatlab,no,0,timezones,no
timezones,function,datetime_nonlibmatlab,no,1,timezones(area),no
timezones,function,datetime_nonlibmatlab,no,2,T = timezones(___),no
timezones,function,datetime_nonlibmatlab,no,3,"[T,vers] = timezones(___)",no
title,function,graph2d,yes,0,title(titletext),no
title,function,graph2d,yes,1,"title(titletext,subtitletext)",no
title,function,graph2d,yes,2,"title(___,Name,Value)",yes
title,function,graph2d,yes,3,"title(target,___)",no
title,function,graph2d,yes,4,t = title(___),no
title,function,graph2d,yes,5,"[t,s] = title(___)",no
toc,builtin,timefun,no,0,toc,no
toc,builtin,timefun,no,1,toc(timerVal),no
toc,builtin,timefun,no,2,elapsedTime = toc,no
toc,builtin,timefun,no,3,elapsedTime = toc(timerVal),no
todatenum,function,,no,0,n = todatenum(obj),no
toeplitz,function,elmat,no,0,"T = toeplitz(c,r)",no
toeplitz,function,elmat,no,1,T = toeplitz(r),no
toolboxdir,function,general,no,0,s = toolboxdir(toolboxName),no
transpose,builtin,ops,no,0,B = A.',no
transpose,builtin,ops,no,1,B = transpose(A),no
trapz,function,datafun,no,0,Q = trapz(Y),no
trapz,function,datafun,no,1,"Q = trapz(X,Y)",no
trapz,function,datafun,no,2,"Q = trapz(___,dim)",no
treelayout,function,sparfun,no,0,"[x,y] = treelayout(parent,post)",no
treelayout,function,sparfun,no,1,"[x,y,h,s] = treelayout(parent,post)",no
treeplot,function,sparfun,no,0,treeplot(p),no
treeplot,function,sparfun,no,1,"treeplot(p,NodeSpec,EdgeSpec)",no
tril,builtin,elmat,no,0,L = tril(A),no
tril,builtin,elmat,no,1,"L = tril(A,k)",no
trimesh,function,specgraph,yes,0,"trimesh(T,x,y)",no
trimesh,function,specgraph,yes,1,"trimesh(T,x,y,z)",no
trimesh,function,specgraph,yes,2,"trimesh(x,y,z,c)",no
trimesh,function,specgraph,yes,3,trimesh(TO),no
trimesh,function,specgraph,yes,4,"trimesh(___,Name,Value)",yes
trimesh,function,specgraph,yes,5,h = trimesh(___),no
triplequad,function,funfun,no,0,"q = triplequad(fun,xmin,xmax,ymin,ymax,zmin,zmax)",no
triplequad,function,funfun,no,1,"q = triplequad(fun,xmin,xmax,ymin,ymax,zmin,zmax,tol)",no
triplequad,function,funfun,no,2,"q = triplequad(fun,xmin,xmax,ymin,ymax,zmin,zmax,tol,method)",no
triplot,function,specgraph,yes,0,"triplot(T,x,y)",no
triplot,function,specgraph,yes,1,"triplot(T,x,y,LineSpec)",no
triplot,function,specgraph,yes,2,triplot(TO),no
triplot,function,specgraph,yes,3,"triplot(___,Name,Value)",yes
triplot,function,specgraph,yes,4,h = triplot(___),no
trisurf,function,specgraph,yes,0,"trisurf(T,x,y,z)",no
trisurf,function,specgraph,yes,1,trisurf(TO),no
