name,kind,folder,graphics,form_index,syntax,name_value
slice,function,specgraph,yes,3,"slice(ax,___)",no
slice,function,specgraph,yes,4,s = slice(___),no
smooth3,function,specgraph,yes,0,"ret = smooth3(data, filt, sz, arg)",no
smoothdata,function,datafun,no,0,B = smoothdata(A),no
smoothdata,function,datafun,no,1,"B = smoothdata(A,dim)",no
smoothdata,function,datafun,no,2,"B = smoothdata(___,method)",no
smoothdata,function,datafun,no,3,"B = smoothdata(___,method,window)",no
smoothdata,function,datafun,no,4,"B = smoothdata(___,nanflag)",no
smoothdata,function,datafun,no,5,"B = smoothdata(___,Name,Value)",yes
smoothdata,function,datafun,no,6,"[B,window] = smoothdata(___)",no
snapnow,function,codetools,no,0,snapnow,no
sort,builtin,datafun,no,0,B = sort(A),no
sort,builtin,datafun,no,1,"B = sort(A,dim)",no
sort,builtin,datafun,no,2,"B = sort(___,direction)",no
sort,builtin,datafun,no,3,"B = sort(___,Name,Value)",yes
