class,property,summary
CodeCompatibilityAnalysis,ChecksPerformed,List of checks performed and frequency of occurrence
CodeCompatibilityAnalysis,Date,Date of code compatibility analysis
CodeCompatibilityAnalysis,Files,List of files analyzed
CodeCompatibilityAnalysis,MATLABVersion,Version of MATLAB
CodeCompatibilityAnalysis,Recommendations,Recommendations to update code
DelaunayTri,Constraints,Constrained edges
DelaunayTri,Triangulation,Triangulation connectivity
DelaunayTri,X,Vertex coordinates
DensityPlot,Annotation,Control for including or excluding object from legend
DensityPlot,BeingDeleted,Deletion status
DensityPlot,BusyAction,Callback queuing
DensityPlot,ButtonDownFcn,Mouse-click callback
DensityPlot,Children,Children
DensityPlot,ContextMenu,Context menu
DensityPlot,CreateFcn,Creation function
DensityPlot,DeleteFcn,Deletion function
DensityPlot,DisplayName,Legend label
DensityPlot,FaceAlpha,Face transparency
DensityPlot,FaceColor,Face color
DensityPlot,FaceColorMode,Control how FaceColor is set
DensityPlot,HandleVisibility,Visibility of object handle
DensityPlot,HitTest,Response to captured mouse clicks
DensityPlot,Interruptible,Callback interruption
DensityPlot,LatitudeData,Latitude coordinates of data points
DensityPlot,LatitudeDataSource,Variable linked to LatitudeData
DensityPlot,LongitudeData,Longitude coordinates of data points
DensityPlot,LongitudeDataSource,Variable linked to LongitudeData
DensityPlot,Parent,Parent
DensityPlot,PickableParts,Ability to capture mouse clicks
DensityPlot,Radius,Radius of influence on density calculation
DensityPlot,RadiusMode,Radius calculation
DensityPlot,Selected,Selection state
DensityPlot,SelectionHighlight,Display of selection handles
DensityPlot,SeriesIndex,Series index
DensityPlot,Tag,Object identifier
DensityPlot,Type,Type of graphics object
DensityPlot,UserData,User data
DensityPlot,Visible,State of visibility
DensityPlot,WeightData,Weights for data
DensityPlot,WeightDataSource,Workspace variable linked to WeightData
MException,Correction,Suggested fix for exception
MException,cause,Cause of exception
MException,identifier,Unique identifier of error
MException,message,Error message
MException,stack,Stack trace information
MemoizedFunction,CacheSize,Maximum number of cached input and output combinations
MemoizedFunction,Enabled,Caching state
MemoizedFunction,Function,Function with memoization semantics applied
NET.Assembly,AssemblyHandle,Instance of assembly
NET.Assembly,Classes,Class names
NET.Assembly,Delegates,Delegate names
NET.Assembly,Enums,Enumeration names
NET.Assembly,GenericTypes,Generic type names
NET.Assembly,Interfaces,Interface names
NET.Assembly,Structures,Structure names
NET.NetException,ExceptionObject,Class causing error
RandStream,Antithetic,Antithetic values
RandStream,FullPrecision,Full precision generation
RandStream,NormalTransform,Normal transformation algorithm
RandStream,NumStreams,Number of streams
RandStream,Seed,Random number seed
RandStream,State,Current internal state
RandStream,StreamIndex,Stream index
RandStream,Substream,Substream Index
RandStream,Type,Random number generator algorithm
Tiff,Compression,Scheme to compress image data
Tiff,ExtraSamples,Extra channel description
Tiff,Group3Options,Group 3 Fax compression options
Tiff,InkSet,Separated image ink set
Tiff,JPEGColorMode,Color mode
Tiff,Orientation,Visual orientation of image data
Tiff,Photometric,Color space of image data
Tiff,PlanarConfiguration,Storage configuration
Tiff,ResolutionUnit,Resolution units
Tiff,SGILogDataFmt,SGIL codec data format
Tiff,SampleFormat,Pixel sample format
Tiff,SubFileType,Type of image
Tiff,TagID,TIFF tag IDs
Tiff,Thresholding,Thresholding technique
Tiff,YCbCrPositioning,Position of chrominance samples
TriRep,Triangulation,Triangulation data structure
TriRep,X,Coordinates of the points in the triangulation
TriScatteredInterp,Method,Interpolation method
TriScatteredInterp,V,Sample point values
TriScatteredInterp,X,Scattered data points
VideoReader,BitsPerPixel,Bits per pixel of video data
VideoReader,CurrentTime,Timestamp of video frame to read
VideoReader,Duration,Length of file
VideoReader,FrameRate,Number of video frames per second
VideoReader,Height,Height of video frame
VideoReader,Name,File name
VideoReader,NumFrames,Number of frames in video stream
VideoReader,Path,Full path to video file
VideoReader,Tag,Generic text
VideoReader,UserData,User-defined data
VideoReader,VideoFormat,MATLAB representation of video format
VideoReader,Width,Width of video frame
VideoWriter,ColorChannels,Number of color channels
VideoWriter,Colormap,Color information for video file
VideoWriter,CompressionRatio,Target compression ratio
VideoWriter,Duration,Duration of output file
VideoWriter,FileFormat,Type of file to write
VideoWriter,Filename,Name of file
VideoWriter,FrameCount,Number of frames
VideoWriter,FrameRate,Rate of video playback
VideoWriter,Height,Height of each video frame
VideoWriter,LosslessCompression,Lossless compression
VideoWriter,MJ2BitDepth,Bit depth for Motion JPEG 2000 files
VideoWriter,Path,Full path to video file
VideoWriter,Quality,Video quality
VideoWriter,VideoBitsPerPixel,Number of bits per pixel
VideoWriter,VideoCompressionMethod,Type of video compression
VideoWriter,VideoFormat,MATLAB representation of video format
VideoWriter,Width,Width of each video frame
alphaShape,Alpha,Alpha radius
alphaShape,HoleThreshold,Maximum interior holes
alphaShape,Points,Coordinates of points
alphaShape,RegionThreshold,Maximum regions
audioplayer,BitsPerSample,Bits per sample
audioplayer,CurrentSample,Sample currently playing
audioplayer,DeviceID,Audio device identifier
audioplayer,NumChannels,Number of audio channels
audioplayer,Running,Audio player status
audioplayer,SampleRate,Sampling frequency
audioplayer,StartFcn,Function to execute at start
audioplayer,StopFcn,Function to execute at end
audioplayer,Tag,Label
audioplayer,TimerFcn,Function to execute repeatedly
audioplayer,TimerPeriod,Timer period
audioplayer,TotalSamples,Total length of audio data
audioplayer,Type,Object class name
audioplayer,UserData,User-defined data
audiorecorder,BitsPerSample,Bits per sample
audiorecorder,CurrentSample,Sample currently recording
audiorecorder,DeviceID,Audio device identifier
audiorecorder,Running,Audio recorder status
audiorecorder,SampleRate,Sampling frequency
audiorecorder,StartFcn,Function to execute at start
audiorecorder,StopFcn,Function to execute at end
audiorecorder,Tag,Label
audiorecorder,TimerFcn,Function to execute repeatedly
audiorecorder,TimerPeriod,Timer period
audiorecorder,TotalSamples,Total length of audio data
audiorecorder,Type,Object class name
audiorecorder,UserData,User-defined data
ble,Address,Peripheral device address
ble,Characteristics,Characteristics included on peripheral device
ble,Connected,Peripheral device connection status
ble,Name,Peripheral device name
ble,Services,Services included on peripheral device
bluetooth,Address,Bluetooth device address
bluetooth,ByteOrder,Sequential order of bytes
bluetooth,BytesAvailableFcn,Callback function triggered by bytes available event
bluetooth,BytesAvailableFcnCount,Number of bytes of data to trigger callback
bluetooth,BytesAvailableFcnMode,Bytes available callback trigger mode
bluetooth,Channel,Bluetooth device channel
bluetooth,ErrorOccurredFcn,Callback function triggered by error event
bluetooth,Name,Bluetooth device name
bluetooth,NumBytesAvailable,Number of bytes available to read
bluetooth,NumBytesWritten,Total number of bytes written to device
bluetooth,Terminator,Terminator character for data
bluetooth,Timeout,Allowed time to complete operations
bluetooth,UserData,General purpose property for user data
calendarDuration,Format,Display format
clibgen.ClassDefinition,CPPName,C++ class name
clibgen.ClassDefinition,Constructors,Class constructors
clibgen.ClassDefinition,DefiningLibrary,Library defining class
clibgen.ClassDefinition,Description,Help text
clibgen.ClassDefinition,DetailedDescription,Help text from C++ header file
clibgen.ClassDefinition,MATLABName,C++ class name in MATLAB
clibgen.ClassDefinition,Methods,Class methods
clibgen.ClassDefinition,Properties,Class properties
clibgen.ConstructorDefinition,CPPSignature,C++ constructor signature
clibgen.ConstructorDefinition,DefiningClass,Class containing constructor
clibgen.ConstructorDefinition,Description,Help text
clibgen.ConstructorDefinition,DetailedDescription,Help text from C++ header file
clibgen.ConstructorDefinition,MATLABSignature,Constructor signature in MATLAB
clibgen.ConstructorDefinition,Valid,Definition complete indicator
clibgen.EnumDefinition,CPPName,C++ enumeration name
clibgen.EnumDefinition,DefiningLibrary,Library defining enumeration
clibgen.EnumDefinition,Description,Help text
clibgen.EnumDefinition,DetailedDescription,Help text from C++ header file
clibgen.EnumDefinition,Entries,Enumerants
clibgen.EnumDefinition,MATLABName,C++ enumeration name in MATLAB
clibgen.EnumDefinition,MATLABType,MATLAB type
clibgen.EnumDefinition,Valid,Definition complete indicator
clibgen.FunctionDefinition,CPPSignature,C++ function signature
clibgen.FunctionDefinition,DefiningLibrary,Library containing function
clibgen.FunctionDefinition,Description,Help text
clibgen.FunctionDefinition,DetailedDescription,Help text from C++ header file
clibgen.FunctionDefinition,MATLABName,C++ function name in MATLAB
clibgen.FunctionDefinition,MATLABSignature,Function signature in MATLAB
clibgen.FunctionDefinition,TemplateUniqueName,Preferred function name
clibgen.FunctionDefinition,Valid,Definition complete indicator
clibgen.FunctionTypeDefinition,CPPSignature,Opaque type signature
clibgen.FunctionTypeDefinition,DefiningLibrary,Library defining class
clibgen.FunctionTypeDefinition,Description,Help text
clibgen.FunctionTypeDefinition,MATLABName,Opaque type name in MATLAB
clibgen.LibraryDefinition,Classes,Class definitions
clibgen.LibraryDefinition,DefinedMacros,Macro definitions
clibgen.LibraryDefinition,Enumerations,Enumeration definitions
clibgen.LibraryDefinition,FunctionTypes,Definition of function types
clibgen.LibraryDefinition,Functions,Nonmember function definitions
clibgen.LibraryDefinition,HeaderFiles,Header file names
clibgen.LibraryDefinition,IncludePath,Path for include folders
clibgen.LibraryDefinition,Libraries,Library names
clibgen.LibraryDefinition,OpaqueTypes,Definition of typedef void*
clibgen.LibraryDefinition,OutputFolder,Folder for interface files
clibgen.LibraryDefinition,PackageName,MATLAB package name
clibgen.LibraryDefinition,SupportingSourceFiles,C++ source file names
clibgen.LibraryDefinition,UndefinedMacros,Macro cancellations
clibgen.MethodDefinition,CPPSignature,C++ method signature
clibgen.MethodDefinition,DefiningClass,Class containing method
clibgen.MethodDefinition,Description,Help text
clibgen.MethodDefinition,DetailedDescription,Help text from C++ header file
clibgen.MethodDefinition,MATLABSignature,Method signature in MATLAB
clibgen.MethodDefinition,TemplateUniqueName,Preferred function name
clibgen.MethodDefinition,Valid,Definition complete indicator
clibgen.OpaqueTypeDefinition,CPPSignature,Opaque type signature
clibgen.OpaqueTypeDefinition,DefiningLibrary,Library defining class
clibgen.OpaqueTypeDefinition,Description,Help text
clibgen.OpaqueTypeDefinition,DetailedDescription,Help text from C++ header file
clibgen.OpaqueTypeDefinition,MATLABName,Opaque type name in MATLAB
clibgen.PropertyDefinition,CPPName,C++ property name
clibgen.PropertyDefinition,DefiningClass,Class containing property
clibgen.PropertyDefinition,Description,Help text
clibgen.PropertyDefinition,DetailedDescription,Help text from C++ header file
clibgen.PropertyDefinition,MATLABType,Type in MATLAB
containers.Map,Count,Number of key-value pairs
containers.Map,KeyType,Data type of keys
containers.Map,ValueType,Data type of values
datetime,Day,Day-of-month number
datetime,Format,Display format
datetime,Hour,Hour number
datetime,Minute,Minute number
datetime,Month,Month number
datetime,Second,Second number
datetime,SystemTimeZone,System time zone setting
datetime,TimeZone,Time zone
datetime,Year,Year number
decomposition,CheckCondition,Toggle to check condition of coefficient matrix
decomposition,Datatype,Data type of coefficient matrix
decomposition,IsConjugateTransposed,Indicator that coefficient matrix is complex conjugate transposed
decomposition,IsReal,Indicator that coefficient matrix is real
decomposition,IsSparse,Indicator that coefficient matrix is sparse
decomposition,MatrixSize,Size of coefficient matrix
decomposition,ScaleFactor,Multiplicative scale factor for coefficient matrix
decomposition,Type,Decomposition type
delaunayTriangulation,ConnectivityList,Triangulation connectivity list
delaunayTriangulation,Constraints,Constrained edges
delaunayTriangulation,Points,Triangulation points
digraph,Edges,Edges of graph
digraph,Nodes,Nodes of graph
duration,Format,Display format
event.ClassInstanceEvent,EventName,Name of the event
event.ClassInstanceEvent,Instance,Object being created or deleted
event.ClassInstanceEvent,Source,meta.class object that is the source of the event
event.DynamicPropertyEvent,EventName,Name of event
event.DynamicPropertyEvent,PropertyName,Name of dynamic property
event.DynamicPropertyEvent,Source,Event source
event.EventData,EventName,Name of event
event.EventData,Source,Event source
event.PropertyEvent,AffectedObject,Object whose property is affected
event.PropertyEvent,EventName,Name of property event
event.PropertyEvent,Source,Property that triggers the event
event.listener,Callback,Event callback
event.listener,Enabled,Enable or disable listener
event.listener,EventName,Name of event
event.listener,Recursive,Execute callback recursively
event.listener,Source,Event source objects
graph,Edges,Edges of graph
graph,Nodes,Nodes of graph
griddedInterpolant,ExtrapolationMethod,Extrapolation method
griddedInterpolant,GridVectors,Grid vectors
griddedInterpolant,Method,Interpolation method
griddedInterpolant,Values,Function values at sample points
inputParser,CaseSensitive,Indicator to match case
inputParser,FunctionName,Name of function for error message
inputParser,KeepUnmatched,Matching indicator
inputParser,Parameters,Argument names
inputParser,PartialMatching,Partial matching indicator
inputParser,Results,Results
inputParser,StructExpand,Structure indicator
inputParser,Unmatched,Unmatched input
inputParser,UsingDefaults,Inputs not passed explicitly to function
lib.pointer,DataType,Type of pointer
lib.pointer,Value,Value
matlab.alias.AliasFileManager,Aliases,Class alias definitions
matlab.diagram.ClassViewer,ActiveFile,Last file loaded or saved
matlab.diagram.ClassViewer,ClassesInDiagram,List of classes currently in diagram
matlab.diagram.ClassViewer,ShowMixins,Display mixin classes
matlab.diagram.ClassViewer,ShowPackageNames,Display package names
matlab.diagram.ClassViewer,Visible,Display Class Viewer instance
matlab.display.CompactDisplayRepresentation,Annotation,Descriptive comment about object array
matlab.display.CompactDisplayRepresentation,CharacterWidth,Character width of finalized padded display text
matlab.display.CompactDisplayRepresentation,PaddedDisplayOutput,Finalized padded display text
matlab.display.DimensionsAndClassNameRepresentation,Annotation,Descriptive comment about object array
matlab.display.DimensionsAndClassNameRepresentation,CharacterWidth,Character width of finalized padded display text
matlab.display.DimensionsAndClassNameRepresentation,PaddedDisplayOutput,Finalized padded display text
matlab.display.DimensionsAndClassNameRepresentation,UseSimpleName,Whether to use simple class name
matlab.display.DisplayConfiguration,AnnotationDelimiters,Delimiters used to wrap annotation
matlab.display.DisplayConfiguration,AnnotationPadding,Padding placed before annotation
matlab.display.DisplayConfiguration,DefaultPadSize,Default number of spaces between elements of plain-text representation
matlab.display.DisplayConfiguration,DefaultPaddingSizeBetweenDimensionsAndClassName,Default number of spaces between array dimensions and class name
matlab.display.DisplayConfiguration,Ellipsis,Ellipsis symbol
matlab.display.DisplayConfiguration,InterElementDelimiter,Inter-element delimiter
matlab.display.DisplayConfiguration,PaddingBetweenDimensionsAndClassName,Padding used to separate array dimensions and class name
matlab.display.DisplayFormatOptions,LineSpacing,Line spacing display format
matlab.display.DisplayFormatOptions,NumericFormat,Numeric display format
matlab.display.PlainTextRepresentation,Annotation,Descriptive comment about object array
matlab.display.PlainTextRepresentation,CharacterWidth,Character width of finalized padded display text
matlab.display.PlainTextRepresentation,PaddedDisplayOutput,Finalized padded display text
matlab.display.PlainTextRepresentation,Representation,Textual representation of data in object array
matlab.exception.JavaException,ExceptionObject,Java exception object
matlab.exception.PyException,ExceptionObject,Object
matlab.graphics.animation.AnimatedLine,AlignVertexCenters,Sharp vertical and horizontal lines
matlab.graphics.animation.AnimatedLine,Annotation,Control for including or excluding object from legend
matlab.graphics.animation.AnimatedLine,BeingDeleted,Deletion status
matlab.graphics.animation.AnimatedLine,BusyAction,Callback queuing
matlab.graphics.animation.AnimatedLine,ButtonDownFcn,Mouse-click callback
matlab.graphics.animation.AnimatedLine,Children,Children
matlab.graphics.animation.AnimatedLine,Clipping,Clipping of object to axes limits
matlab.graphics.animation.AnimatedLine,Color,Line color
matlab.graphics.animation.AnimatedLine,ContextMenu,Context menu
matlab.graphics.animation.AnimatedLine,CreateFcn,Creation function
matlab.graphics.animation.AnimatedLine,DeleteFcn,Deletion function
matlab.graphics.animation.AnimatedLine,DisplayName,Legend label
matlab.graphics.animation.AnimatedLine,HandleVisibility,Visibility of object handle
matlab.graphics.animation.AnimatedLine,HitTest,Response to captured mouse clicks
matlab.graphics.animation.AnimatedLine,Interruptible,Callback interruption
matlab.graphics.animation.AnimatedLine,LineStyle,Line style
matlab.graphics.animation.AnimatedLine,LineWidth,Line width
matlab.graphics.animation.AnimatedLine,Marker,Marker symbol
matlab.graphics.animation.AnimatedLine,MarkerEdgeColor,Marker outline color
matlab.graphics.animation.AnimatedLine,MarkerFaceColor,Marker fill color
matlab.graphics.animation.AnimatedLine,MarkerSize,Marker size
matlab.graphics.animation.AnimatedLine,MaximumNumPoints,Maximum number of points stored and displayed
matlab.graphics.animation.AnimatedLine,Parent,Parent
matlab.graphics.animation.AnimatedLine,PickableParts,Ability to capture mouse clicks
matlab.graphics.animation.AnimatedLine,Selected,Selection state
matlab.graphics.animation.AnimatedLine,SelectionHighlight,Display of selection handles
matlab.graphics.animation.AnimatedLine,Tag,Object identifier
matlab.graphics.animation.AnimatedLine,Type,Type of graphics object
matlab.graphics.animation.AnimatedLine,UserData,User data
matlab.graphics.animation.AnimatedLine,Visible,State of visibility
matlab.graphics.axis.Axes,ALim,Alpha limits
matlab.graphics.axis.Axes,ALimMode,Selection mode for ALim
matlab.graphics.axis.Axes,AlphaScale,Scale for transparency mapping
matlab.graphics.axis.Axes,Alphamap,Transparency map
matlab.graphics.axis.Axes,AmbientLightColor,Background light color
matlab.graphics.axis.Axes,BeingDeleted,Deletion status
matlab.graphics.axis.Axes,Box,Box outline
matlab.graphics.axis.Axes,BoxStyle,Box outline style
matlab.graphics.axis.Axes,BusyAction,Callback queuing
matlab.graphics.axis.Axes,ButtonDownFcn,Mouse-click callback
matlab.graphics.axis.Axes,CLim,Color limits
matlab.graphics.axis.Axes,CLimMode,Selection mode for CLim
matlab.graphics.axis.Axes,CameraPosition,Camera location
matlab.graphics.axis.Axes,CameraPositionMode,Selection mode for CameraPosition
matlab.graphics.axis.Axes,CameraTarget,Camera target point
matlab.graphics.axis.Axes,CameraTargetMode,Selection mode for CameraTarget
matlab.graphics.axis.Axes,CameraUpVector,Vector defining upwards direction
matlab.graphics.axis.Axes,CameraUpVectorMode,Selection mode for CameraUpVector
matlab.graphics.axis.Axes,CameraViewAngle,Field of view
matlab.graphics.axis.Axes,CameraViewAngleMode,Selection mode for CameraViewAngle
matlab.graphics.axis.Axes,Children,Children
matlab.graphics.axis.Axes,Clipping,Clipping of objects to axes limits
matlab.graphics.axis.Axes,ClippingStyle,Clipping boundaries
matlab.graphics.axis.Axes,Color,Background color
matlab.graphics.axis.Axes,ColorOrder,Color order
matlab.graphics.axis.Axes,ColorOrderIndex,Color order index
matlab.graphics.axis.Axes,ColorScale,Scale for color mapping
matlab.graphics.axis.Axes,Colormap,Color map
matlab.graphics.axis.Axes,ContextMenu,Context menu
matlab.graphics.axis.Axes,CreateFcn,Creation function
matlab.graphics.axis.Axes,CurrentPoint,Location of mouse pointer
matlab.graphics.axis.Axes,DataAspectRatio,Relative length of data units
matlab.graphics.axis.Axes,DataAspectRatioMode,Data aspect ratio mode
matlab.graphics.axis.Axes,DeleteFcn,Deletion function
matlab.graphics.axis.Axes,FontAngle,Character slant
matlab.graphics.axis.Axes,FontName,Font name
matlab.graphics.axis.Axes,FontSize,Font size
matlab.graphics.axis.Axes,FontSizeMode,Selection mode for font size
matlab.graphics.axis.Axes,FontSmoothing,Font smoothing
matlab.graphics.axis.Axes,FontUnits,Font size units
matlab.graphics.axis.Axes,FontWeight,Character thickness
matlab.graphics.axis.Axes,GridAlpha,Grid-line transparency
matlab.graphics.axis.Axes,GridAlphaMode,Selection mode for GridAlpha
matlab.graphics.axis.Axes,GridColor,Color of grid lines
matlab.graphics.axis.Axes,GridColorMode,Property for setting grid color
matlab.graphics.axis.Axes,GridLineStyle,Line style for grid lines
matlab.graphics.axis.Axes,HandleVisibility,Visibility of object handle
matlab.graphics.axis.Axes,HitTest,Response to captured mouse clicks
matlab.graphics.axis.Axes,InnerPosition,Inner size and location
matlab.graphics.axis.Axes,Interactions,Interactions
matlab.graphics.axis.Axes,Interruptible,Callback interruption
matlab.graphics.axis.Axes,LabelFontSizeMultiplier,Scale factor for label font size
matlab.graphics.axis.Axes,Layer,Placement of grid lines and tick marks
matlab.graphics.axis.Axes,Layout,Layout options
matlab.graphics.axis.Axes,Legend,Legend associated with axes
matlab.graphics.axis.Axes,LineStyleOrder,Line style order
matlab.graphics.axis.Axes,LineStyleOrderIndex,Line style order index
matlab.graphics.axis.Axes,LineWidth,Line width
matlab.graphics.axis.Axes,MinorGridAlpha,Minor grid line transparency
matlab.graphics.axis.Axes,MinorGridAlphaMode,Selection mode for MinorGridAlpha
matlab.graphics.axis.Axes,MinorGridColor,Color of minor grid lines
matlab.graphics.axis.Axes,MinorGridColorMode,Property for setting minor grid color
matlab.graphics.axis.Axes,MinorGridLineStyle,Line style for minor grid lines
matlab.graphics.axis.Axes,NextPlot,Properties to reset
matlab.graphics.axis.Axes,NextSeriesIndex,SeriesIndex value for next object
matlab.graphics.axis.Axes,OuterPosition,"Size and location, including labels and margin"
matlab.graphics.axis.Axes,Parent,Parent container
matlab.graphics.axis.Axes,PickableParts,Ability to capture mouse clicks
matlab.graphics.axis.Axes,PlotBoxAspectRatio,Relative length of each axis
matlab.graphics.axis.Axes,PlotBoxAspectRatioMode,Selection mode for PlotBoxAspectRatio
matlab.graphics.axis.Axes,Position,"Size and location, excluding margin for labels"
matlab.graphics.axis.Axes,PositionConstraint,Position to hold constant
matlab.graphics.axis.Axes,Projection,Type of projection onto 2-D screen
matlab.graphics.axis.Axes,Selected,Selection state
matlab.graphics.axis.Axes,SelectionHighlight,Display of selection handles
matlab.graphics.axis.Axes,SortMethod,Order for rendering objects
matlab.graphics.axis.Axes,Subtitle,Text object for subtitle
matlab.graphics.axis.Axes,SubtitleFontWeight,Subtitle character thickness
matlab.graphics.axis.Axes,Tag,Object identifier
matlab.graphics.axis.Axes,TickDir,Tick mark direction
matlab.graphics.axis.Axes,TickDirMode,Selection mode for TickDir
matlab.graphics.axis.Axes,TickLabelInterpreter,Tick label interpreter
matlab.graphics.axis.Axes,TickLength,Tick mark length
matlab.graphics.axis.Axes,TightInset,Margins for text labels
matlab.graphics.axis.Axes,Title,Text object for title
matlab.graphics.axis.Axes,TitleFontSizeMultiplier,Scale factor for title font size
matlab.graphics.axis.Axes,TitleFontWeight,Title character thickness
matlab.graphics.axis.Axes,TitleHorizontalAlignment,Title and subtitle horizontal alignment
matlab.graphics.axis.Axes,Toolbar,Data exploration toolbar
matlab.graphics.axis.Axes,Type,Type of graphics object
matlab.graphics.axis.Axes,Units,Position units
matlab.graphics.axis.Axes,UserData,User data
matlab.graphics.axis.Axes,View,Azimuth and elevation of view
matlab.graphics.axis.Axes,Visible,State of visibility
matlab.graphics.axis.Axes,XAxis,Axis ruler
matlab.graphics.axis.Axes,XAxisLocation,x-axis location
matlab.graphics.axis.Axes,XColor,"Color of axis line, tick values, and labels"
matlab.graphics.axis.Axes,XColorMode,Property for setting x-axis grid color
matlab.graphics.axis.Axes,XDir,x-axis direction
matlab.graphics.axis.Axes,XGrid,Grid lines
matlab.graphics.axis.Axes,XLabel,Text object for axis label
matlab.graphics.axis.Axes,XLim,Minimum and maximum axis limits
matlab.graphics.axis.Axes,XLimMode,Selection mode for axis limits
matlab.graphics.axis.Axes,XLimitMethod,Axis limit selection method
matlab.graphics.axis.Axes,XMinorGrid,Minor grid lines
matlab.graphics.axis.Axes,XMinorTick,Minor tick marks
matlab.graphics.axis.Axes,XScale,Scale of values along axis
matlab.graphics.axis.Axes,XTick,Tick values
matlab.graphics.axis.Axes,XTickLabel,Tick labels
matlab.graphics.axis.Axes,XTickLabelMode,Selection mode for tick labels
matlab.graphics.axis.Axes,XTickLabelRotation,Tick label rotation
matlab.graphics.axis.Axes,XTickMode,Selection mode for tick values
matlab.graphics.axis.Axes,YAxis,Axis ruler
matlab.graphics.axis.Axes,YAxisLocation,y-axis location
matlab.graphics.axis.Axes,YColor,"Color of axis line, tick values, and labels"
matlab.graphics.axis.Axes,YColorMode,Property for setting y-axis grid color
matlab.graphics.axis.Axes,YDir,y-axis direction
matlab.graphics.axis.Axes,YGrid,Grid lines
matlab.graphics.axis.Axes,YLabel,Text object for axis label
matlab.graphics.axis.Axes,YLim,Minimum and maximum axis limits
matlab.graphics.axis.Axes,YLimMode,Selection mode for axis limits
matlab.graphics.axis.Axes,YLimitMethod,Axis limit selection method
matlab.graphics.axis.Axes,YMinorGrid,Minor grid lines
matlab.graphics.axis.Axes,YMinorTick,Minor tick marks
matlab.graphics.axis.Axes,YScale,Scale of values along axis
matlab.graphics.axis.Axes,YTick,Tick values
matlab.graphics.axis.Axes,YTickLabel,Tick labels
matlab.graphics.axis.Axes,YTickLabelMode,Selection mode for tick labels
matlab.graphics.axis.Axes,YTickLabelRotation,Tick label rotation
matlab.graphics.axis.Axes,YTickMode,Selection mode for tick values
matlab.graphics.axis.Axes,ZAxis,Axis ruler
matlab.graphics.axis.Axes,ZColor,"Color of axis line, tick values, and labels"
matlab.graphics.axis.Axes,ZColorMode,Property for setting z-axis grid color
matlab.graphics.axis.Axes,ZDir,z-axis direction
matlab.graphics.axis.Axes,ZGrid,Grid lines
matlab.graphics.axis.Axes,ZLabel,Text object for axis label
matlab.graphics.axis.Axes,ZLim,Minimum and maximum axis limits
matlab.graphics.axis.Axes,ZLimMode,Selection mode for axis limits
matlab.graphics.axis.Axes,ZLimitMethod,Axis limit selection method
matlab.graphics.axis.Axes,ZMinorGrid,Minor grid lines
matlab.graphics.axis.Axes,ZMinorTick,Minor tick marks
matlab.graphics.axis.Axes,ZScale,Scale of values along axis
matlab.graphics.axis.Axes,ZTick,Tick values
matlab.graphics.axis.Axes,ZTickLabel,Tick labels
matlab.graphics.axis.Axes,ZTickLabelMode,Selection mode for tick labels
matlab.graphics.axis.Axes,ZTickLabelRotation,Tick label rotation
matlab.graphics.axis.Axes,ZTickMode,Selection mode for tick values
matlab.graphics.axis.GeographicAxes,ALim,Alpha limits for alphamap
matlab.graphics.axis.GeographicAxes,ALimMode,Selection mode for ALim
matlab.graphics.axis.GeographicAxes,AlphaScale,Scale for transparency mapping
matlab.graphics.axis.GeographicAxes,Alphamap,Transparency map
matlab.graphics.axis.GeographicAxes,AxisColor,"Color of axis lines, tick values, and labels"
matlab.graphics.axis.GeographicAxes,Basemap,Map on which to plot data
matlab.graphics.axis.GeographicAxes,BeingDeleted,Deletion status
matlab.graphics.axis.GeographicAxes,Box,Outline around geographic axes
matlab.graphics.axis.GeographicAxes,BusyAction,Callback queuing
matlab.graphics.axis.GeographicAxes,ButtonDownFcn,Mouse-click callback
matlab.graphics.axis.GeographicAxes,CLim,Color limits for colormap
matlab.graphics.axis.GeographicAxes,CLimMode,Selection mode for CLim
matlab.graphics.axis.GeographicAxes,Children,Children
matlab.graphics.axis.GeographicAxes,Color,Background color
matlab.graphics.axis.GeographicAxes,ColorOrder,Color order
matlab.graphics.axis.GeographicAxes,ColorOrderIndex,Color order index
matlab.graphics.axis.GeographicAxes,ColorScale,Scale for color mapping
matlab.graphics.axis.GeographicAxes,Colormap,Colormap
matlab.graphics.axis.GeographicAxes,ContextMenu,Context menu
matlab.graphics.axis.GeographicAxes,CreateFcn,Creation function
matlab.graphics.axis.GeographicAxes,CurrentPoint,Location of mouse pointer
matlab.graphics.axis.GeographicAxes,DeleteFcn,Deletion function
matlab.graphics.axis.GeographicAxes,FontAngle,Character slant
matlab.graphics.axis.GeographicAxes,FontName,Font name
matlab.graphics.axis.GeographicAxes,FontSize,Font size
matlab.graphics.axis.GeographicAxes,FontSizeMode,Selection mode for font size
matlab.graphics.axis.GeographicAxes,FontUnits,Font size units
matlab.graphics.axis.GeographicAxes,FontWeight,Character thickness
matlab.graphics.axis.GeographicAxes,Grid,Visibility of latitude and longitude lines
matlab.graphics.axis.GeographicAxes,GridAlpha,Grid-line transparency
matlab.graphics.axis.GeographicAxes,GridAlphaMode,Selection mode for GridAlpha
matlab.graphics.axis.GeographicAxes,GridColor,Color of grid lines
matlab.graphics.axis.GeographicAxes,GridColorMode,Property for setting grid color
matlab.graphics.axis.GeographicAxes,GridLineStyle,Line style for grid lines
matlab.graphics.axis.GeographicAxes,HandleVisibility,Visibility of object handle
