name,folder,form_index,syntax,verdict,detail
calendar,timefun,1,c = calendar(d),unprobed,no sample for this form's arguments
calendar,timefun,2,"c = calendar(y, m)",unprobed,no sample for this form's arguments
date,timefun,0,c = date,accepted,
datenum,timefun,0,DateNumber = datenum(t),error,datenum: Not a legal OleAut date.
datenum,timefun,1,DateNumber = datenum(DateString),error,datenum: Not a legal OleAut date.
datenum,timefun,2,"DateNumber = datenum(DateString,formatIn)",error,"datenum expects year, month, day (optionally hour, minute, second), or a single 3- or 6-element vector."
datenum,timefun,3,"DateNumber = datenum(DateString,PivotYear)",error,"datenum expects year, month, day (optionally hour, minute, second), or a single 3- or 6-element vector."
datenum,timefun,4,"DateNumber = datenum(DateString,formatIn,PivotYear)",error,"datenum expects argument 1 to be a number, but got a array."
datenum,timefun,5,DateNumber = datenum(DateVector),error,datenum: Not a legal OleAut date.
datenum,timefun,6,"DateNumber = datenum(Y,M,D)",unprobed,no sample for this form's arguments
datenum,timefun,7,"DateNumber = datenum(Y,M,D,H,MN,S)",unprobed,no sample for this form's arguments
datestr,timefun,0,DateString = datestr(t),error,"datestr expects argument 1 to be a number, but got a array."
datestr,timefun,1,DateString = datestr(DateVector),error,"datestr expects argument 1 to be a number, but got a array."
datestr,timefun,2,DateString = datestr(DateNumber),error,"datestr expects argument 1 to be a number, but got a array."
datestr,timefun,3,"DateString = datestr(___,formatOut)",error,"datestr expects argument 1 to be a number, but got a array."
datestr,timefun,4,DateString = datestr(DateStringIn),error,"datestr expects argument 1 to be a number, but got a string."
datestr,timefun,5,"DateString = datestr(DateStringIn,formatOut,PivotYear)",error,"datestr expects between 0 and 2 argument(s), but got 3."
datestr,timefun,6,"DateString = datestr(___,'local')",error,"datestr expects argument 1 to be a number, but got a array."
datevec,timefun,0,DateVector = datevec(t),error,datevec: The added or subtracted value results in an un-representable DateTime.
datevec,timefun,1,DateVector = datevec(DateNumber),error,datevec: The added or subtracted value results in an un-representable DateTime.
datevec,timefun,2,DateVector = datevec(DateString),error,datevec: The added or subtracted value results in an un-representable DateTime.
datevec,timefun,3,"DateVector = datevec(DateString,formatIn)",error,"datevec expects between 1 and 1 argument(s), but got 2."
datevec,timefun,4,"DateVector = datevec(DateString,PivotYear)",error,"datevec expects between 1 and 1 argument(s), but got 2."
datevec,timefun,5,"DateVector = datevec(DateString,formatIn,PivotYear)",error,"datevec expects between 1 and 1 argument(s), but got 3."
datevec,timefun,6,"[Y,M,D,H,MN,S] = datevec(___)",error,datevec: The added or subtracted value results in an un-representable DateTime.
eomday,timefun,0,"E = eomday(Y,M)",unprobed,no sample for this form's arguments
etime,timefun,0,"e = etime(t2,t1)",unprobed,no sample for this form's arguments
now,timefun,0,t = now,accepted,
weekday,timefun,0,DayNumber = weekday(D),error,weekday: The added or subtracted value results in an un-representable DateTime.
weekday,timefun,1,"[DayNumber,DayName] = weekday(D)",error,weekday: The added or subtracted value results in an un-representable DateTime.
weekday,timefun,2,"[DayNumber,DayName] = weekday(D,DayForm)",error,"weekday expects 1 argument(s), but got 2."
weekday,timefun,3,"[DayNumber,DayName] = weekday(D,language)",error,"weekday expects 1 argument(s), but got 2."
weekday,timefun,4,"[DayNumber,DayName] = weekday(D,DayForm,language)",error,"weekday expects 1 argument(s), but got 3."
mustBeA,validators,0,"mustBeA(value,classNames)",unprobed,no sample for this form's arguments
mustBeFinite,validators,0,mustBeFinite(value),accepted,
mustBeFloat,validators,0,mustBeFloat(value),accepted,
mustBeGreaterThan,validators,0,"mustBeGreaterThan(value,c)",error,Value must be greater than 2.
mustBeGreaterThanOrEqual,validators,0,"mustBeGreaterThanOrEqual(value,c)",accepted,
mustBeInRange,validators,0,"mustBeInRange(value,lower,upper)",error,Value must be in the range 1 to 1.
mustBeInRange,validators,1,"mustBeInRange(value,lower,upper,boundflag1,boundflag2)",unprobed,no sample for this form's arguments
mustBeInteger,validators,0,mustBeInteger(value),accepted,
mustBeLessThan,validators,0,"mustBeLessThan(value,c)",error,Value must be less than 2.
mustBeLessThanOrEqual,validators,0,"mustBeLessThanOrEqual(value,c)",accepted,
mustBeMember,validators,0,"mustBeMember(value,S)",accepted,
mustBeNegative,validators,0,mustBeNegative(value),error,Value must be negative.
mustBeNonNan,validators,0,mustBeNonNan(value),accepted,
mustBeNonempty,validators,0,mustBeNonempty(value),accepted,
mustBeNonnegative,validators,0,mustBeNonnegative(value),accepted,
mustBeNonpositive,validators,0,mustBeNonpositive(value),error,Value must be nonpositive.
mustBeNonzero,validators,0,mustBeNonzero(value),accepted,
mustBeNumeric,validators,0,mustBeNumeric(value),accepted,
mustBeNumericOrLogical,validators,0,mustBeNumericOrLogical(value),accepted,
mustBePositive,validators,0,mustBePositive(value),accepted,
mustBeReal,validators,0,mustBeReal(value),accepted,
mustBeScalarOrEmpty,validators,0,mustBeScalarOrEmpty(value),accepted,
mustBeText,validators,0,mustBeText(value),error,Value must be text.
mustBeTextScalar,validators,0,mustBeTextScalar(value),error,Value must be a single piece of text.
mustBeVector,validators,0,mustBeVector(value),accepted,
mustBeVector,validators,1,"mustBeVector(value,""allow-all-empties"")",error,"mustBeVector expects 1 argument(s), but got 2."
