name,kind,form_index,syntax,verdict,detail
delaunay,builtin,2,"DT = delaunay(x,y,z)",accepted,
delete,builtin,0,delete filename,accepted,
delete,builtin,1,delete filename1 ... filenamen,unprobed,no sample for this form's arguments
delete,builtin,2,delete(obj),error,"delete expects argument 1 to be a string, but got a array."
det,builtin,0,d = det(A),error,"det needs a square matrix, but got 2x3."
diag,builtin,0,D = diag(v),accepted,
diag,builtin,1,"D = diag(v,k)",accepted,
diag,builtin,2,x = diag(A),accepted,
diag,builtin,3,"x = diag(A,k)",accepted,
diary,builtin,0,diary,accepted,
diary,builtin,1,diary filename,accepted,
diary,builtin,2,diary off,accepted,
diary,builtin,3,diary on,accepted,
diff,builtin,0,Y = diff(X),accepted,
diff,builtin,1,"Y = diff(X,n)",accepted,
diff,builtin,2,"Y = diff(X,n,dim)",accepted,
diffuse,function,0,"R = diffuse(Nx,Ny,Nz,S)",unprobed,no sample for this form's arguments
dir,builtin,0,dir,accepted,
dir,builtin,1,dir name,accepted,
dir,builtin,2,listing = dir(name),accepted,
disableDefaultInteractivity,function,0,disableDefaultInteractivity(ax),accepted,
disp,builtin,0,disp(X),accepted,
display,builtin,0,display(X),unprobed,no sample for this form's arguments
dissect,builtin,0,p = dissect(A),accepted,
dissect,builtin,1,"p = dissect(A,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
dither,function,0,"X = dither(RGB,map)",error,"dither expects a picture, not a colormap."
dither,function,1,"X = dither(RGB,map,Qm,Qe)",error,"dither expects between 1 and 2 argument(s), but got 4."
dither,function,2,BW = dither(I),accepted,
divergence,function,0,"div = divergence(X,Y,Z,Fx,Fy,Fz)",error,"divergence: the grid does not match the volume — it wants 1 positions along y, but was given 27."
divergence,function,1,"div = divergence(Fx,Fy,Fz)",accepted,
divergence,function,2,"div = divergence(X,Y,Fx,Fy)",error,"divergence expects argument 3 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
divergence,function,3,"div = divergence(Fx,Fy)",error,"divergence expects argument 1 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
dmperm,builtin,0,p = dmperm(A),unprobed,no sample for this form's arguments
dmperm,builtin,1,"[p,q,r,s,cc,rr] = dmperm(A)",unprobed,no sample for this form's arguments
drawnow,builtin,0,drawnow,accepted,
drawnow,builtin,1,drawnow limitrate,accepted,
drawnow,builtin,2,drawnow nocallbacks,accepted,
drawnow,builtin,3,drawnow limitrate nocallbacks,accepted,
drawnow,builtin,4,drawnow update,accepted,
drawnow,builtin,5,drawnow expose,accepted,
echo,builtin,0,echo on,accepted,
echo,builtin,1,echo off,accepted,
echo,builtin,2,echo,accepted,
echo,builtin,3,echo filename on,accepted,
echo,builtin,4,echo filename off,accepted,
echo,builtin,5,echo filename,error,"echo: expected 'on' or 'off', not 'filename'."
echo,builtin,6,echo on all,error,"echo: expected 'on' or 'off', not 'all'."
echo,builtin,7,echo off all,error,"echo: expected 'on' or 'off', not 'all'."
eig,builtin,0,e = eig(A),accepted,
eig,builtin,1,"[V,D] = eig(A)",accepted,
eig,builtin,2,"[V,D,W] = eig(A)",accepted,
eig,builtin,3,"e = eig(A,B)",accepted,
eig,builtin,4,"[V,D] = eig(A,B)",accepted,
eig,builtin,5,"[V,D,W] = eig(A,B)",accepted,
eig,builtin,6,"[___] = eig(A,balanceOption)",accepted,
eig,builtin,7,"[___] = eig(A,B,algorithm)",error,"eig(A, B, 'chol') needs both matrices symmetric; these are not, so use 'qz'."
eig,builtin,8,"[___] = eig(___,outputForm)",accepted,
ellipsoid,function,0,"[X,Y,Z] = ellipsoid(xc,yc,zc,xr,yr,zr)",unprobed,no sample for this form's arguments
ellipsoid,function,1,"[X,Y,Z] = ellipsoid(xc,yc,zc,xr,yr,zr,n)",unprobed,no sample for this form's arguments
ellipsoid,function,2,ellipsoid(___),unprobed,no sample for this form's arguments
ellipsoid,function,3,"ellipsoid(ax,___)",unprobed,no sample for this form's arguments
enableDefaultInteractivity,function,0,enableDefaultInteractivity(ax),accepted,
enableLegacyExplorationModes,function,0,enableLegacyExplorationModes(fig),accepted,
endsWith,builtin,0,"TF = endsWith(str,pat)",accepted,
endsWith,builtin,1,"TF = endsWith(str,pat,'IgnoreCase',true)",unprobed,no sample for this form's arguments
eps,builtin,0,d = eps,accepted,
eps,builtin,1,d = eps(x),accepted,
eps,builtin,2,d = eps(datatype),accepted,
eq,builtin,0,A == B,unprobed,no sample for this form's arguments
eq,builtin,1,"eq(A,B)",accepted,
erf,builtin,0,erf(x),accepted,
erfc,builtin,0,erfc(x),accepted,
erfcinv,builtin,0,erfcinv(x),accepted,
erfcx,builtin,0,erfcx(x),accepted,
erfinv,builtin,0,erfinv(x),accepted,
error,builtin,0,error(msg),error,a
error,builtin,1,"error(msg,A1,...,An)",unprobed,no sample for this form's arguments
error,builtin,2,"error(errID,___)",error,error: sprintf got 1 more argument(s) than the format uses.
error,builtin,3,error(errorStruct),error,"error expects argument 1 to be a string, but got a number."
error,builtin,4,"error(correction,___)",unprobed,no sample for this form's arguments
errorbar,function,0,"errorbar(y,err)",accepted,
errorbar,function,1,"errorbar(x,y,err)",accepted,
errorbar,function,2,"errorbar(x,y,neg,pos)",accepted,
errorbar,function,3,"errorbar(___,ornt)",accepted,
errorbar,function,4,"errorbar(x,y,yneg,ypos,xneg,xpos)",accepted,
errorbar,function,5,"errorbar(___,LineSpec)",accepted,
errorbar,function,6,"errorbar(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
errorbar,function,7,"errorbar(ax,___)",accepted,
errorbar,function,8,e = errorbar(___),accepted,
etree,builtin,0,p = etree(A),unprobed,no sample for this form's arguments
etree,builtin,1,"p = etree(A,'col')",unprobed,no sample for this form's arguments
etree,builtin,2,"p = etree(A,'sym')",unprobed,no sample for this form's arguments
etree,builtin,3,"[p,q] = etree(...)",unprobed,no sample for this form's arguments
eval,builtin,0,eval(expression),undefined,'a' is not recognized as a variable or a function.
eval,builtin,1,"[output1,...,outputN] = eval(expression)",undefined,'a' is not recognized as a variable or a function.
evalc,builtin,0,results = evalc(expression),undefined,'a' is not recognized as a variable or a function.
evalc,builtin,1,"[results,output1,...,outputN] = evalc(expression)",undefined,'a' is not recognized as a variable or a function.
evalin,builtin,0,"evalin(workspace,expression)",undefined,'a' is not recognized as a variable or a function.
evalin,builtin,1,"[output1,...,outputN] = evalin(workspace,expression)",undefined,'a' is not recognized as a variable or a function.
exist,builtin,0,exist name,accepted,
exist,builtin,1,exist name searchType,accepted,
exist,builtin,2,A = exist(___),accepted,
exit,builtin,0,exit,unprobed,waits for a person or ends the process
exp,builtin,0,Y = exp(X),accepted,
expm1,builtin,0,y = expm1(x),unprobed,no sample for this form's arguments
exportapp,function,0,"exportapp(fig,filename)",error,"exportapp opens a window, and this host has none — exportgraphics writes the figure itself, without the window around it."
exportgraphics,function,0,"exportgraphics(obj,filename)",accepted,
exportgraphics,function,1,"exportgraphics(obj,filename,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
exportsetupdlg,function,0,exportsetupdlg(f),error,"exportsetupdlg opens a window, and this host has none — exportgraphics takes Resolution and BackgroundColor as arguments."
exportsetupdlg,function,1,exportsetupdlg,error,"exportsetupdlg opens a window, and this host has none — exportgraphics takes Resolution and BackgroundColor as arguments."
eye,builtin,0,I = eye,accepted,
eye,builtin,1,I = eye(n),accepted,
eye,builtin,2,"I = eye(n,m)",accepted,
eye,builtin,3,I = eye(sz),accepted,
eye,builtin,4,"I = eye(___,typename)",error,"eye expects argument 1 to be a number, but got a string."
eye,builtin,5,"I = eye(___,'like',p)",unprobed,no sample for this form's arguments
ezcontour,function,0,ezcontour(f),accepted,
ezcontour,function,1,"ezcontour(f,xyinterval)",error,"ezcontour: a domain is [min max], or one pair for each direction, all finite."
ezcontour,function,2,"ezcontour(___,n)",error,"ezcontour: a domain is [min max], or one pair for each direction, all finite."
ezcontour,function,3,"ezcontour(ax,___)",accepted,
ezcontour,function,4,c = ezcontour(___),accepted,
ezcontourf,function,0,ezcontourf(f),accepted,
ezcontourf,function,1,"ezcontourf(f,xyinterval)",error,"ezcontourf: a domain is [min max], or one pair for each direction, all finite."
ezcontourf,function,2,"ezcontourf(___,n)",error,"ezcontourf: a domain is [min max], or one pair for each direction, all finite."
ezcontourf,function,3,"ezcontourf(ax,___)",accepted,
ezcontourf,function,4,c = ezcontourf(___),accepted,
ezmesh,function,0,ezmesh(f),accepted,
ezmesh,function,1,"ezmesh(f,xyinterval)",error,"ezmesh: a domain is [min max], or one pair for each direction, all finite."
ezmesh,function,2,"ezmesh(funx,funy,funz)",accepted,
ezmesh,function,3,"ezmesh(funx,funy,funz,uvinterval)",error,"ezmesh: a domain is [min max], or one pair for each direction, all finite."
ezmesh,function,4,"ezmesh(___,n)",error,"ezmesh: a domain is [min max], or one pair for each direction, all finite."
ezmesh,function,5,"ezmesh(___,'circ')",error,"ezmesh(f) takes one function of x and y, or three functions of two parameters."
ezmesh,function,6,"ezmesh(ax,___)",accepted,
ezmesh,function,7,s = ezmesh(___),accepted,
ezmeshc,function,0,ezmeshc(f),accepted,
ezmeshc,function,1,"ezmeshc(f,xyinterval)",error,"ezmeshc: a domain is [min max], or one pair for each direction, all finite."
ezmeshc,function,2,"ezmeshc(funx,funy,funz)",accepted,
ezmeshc,function,3,"ezmeshc(funx,funy,funz,uvinterval)",error,"ezmeshc: a domain is [min max], or one pair for each direction, all finite."
ezmeshc,function,4,"ezmeshc(___,n)",error,"ezmeshc: a domain is [min max], or one pair for each direction, all finite."
ezmeshc,function,5,"ezmeshc(___,'circ')",error,"ezmeshc(f) takes one function of x and y, or three functions of two parameters."
ezmeshc,function,6,"ezmeshc(ax,___)",accepted,
ezmeshc,function,7,sc = ezmeshc(___),accepted,
ezplot,function,0,ezplot(f),accepted,
ezplot,function,1,"ezplot(f,xinterval)",error,"ezplot: a domain is [min max], or one pair for each direction, all finite."
ezplot,function,2,ezplot(f2),accepted,
ezplot,function,3,"ezplot(f2,xyinterval)",error,"ezplot: a domain is [min max], or one pair for each direction, all finite."
ezplot,function,4,"ezplot(funx,funy)",accepted,
ezplot,function,5,"ezplot(funx,funy,uinterval)",error,"ezplot: a domain is [min max], or one pair for each direction, all finite."
ezplot,function,6,"ezplot(___,fig)",unprobed,no sample for this form's arguments
ezplot,function,7,"ezplot(ax,___)",accepted,
ezplot,function,8,h = ezplot(___),accepted,
ezplot3,function,0,"ezplot3(funx,funy,funz)",accepted,
ezplot3,function,1,"ezplot3(funx,funy,funz,uinterval)",error,"ezplot3: a domain is [min max], or one pair for each direction, all finite."
ezplot3,function,2,"ezplot3(___,'animate')",accepted,
ezplot3,function,3,"ezplot3(ax,___)",accepted,
ezplot3,function,4,h = ezplot3(___),accepted,
ezpolar,function,0,ezpolar(fun),unprobed,no sample for this form's arguments
ezpolar,function,1,"ezpolar(fun,[a,b])",unprobed,no sample for this form's arguments
ezpolar,function,2,"ezpolar(axes_handle,...)",unprobed,no sample for this form's arguments
ezpolar,function,3,h = ezpolar(...),unprobed,no sample for this form's arguments
ezsurf,function,0,ezsurf(f),accepted,
ezsurf,function,1,"ezsurf(f,xyinterval)",error,"ezsurf: a domain is [min max], or one pair for each direction, all finite."
ezsurf,function,2,"ezsurf(funx,funy,funz)",accepted,
ezsurf,function,3,"ezsurf(funx,funy,funz,uvinterval)",error,"ezsurf: a domain is [min max], or one pair for each direction, all finite."
ezsurf,function,4,"ezsurf(___,n)",error,"ezsurf: a domain is [min max], or one pair for each direction, all finite."
ezsurf,function,5,"ezsurf(___,'circ')",error,"ezsurf(f) takes one function of x and y, or three functions of two parameters."
ezsurf,function,6,"ezsurf(ax,___)",accepted,
ezsurf,function,7,s = ezsurf(___),accepted,
ezsurfc,function,0,ezsurfc(f),accepted,
ezsurfc,function,1,"ezsurfc(f,xyinterval)",error,"ezsurfc: a domain is [min max], or one pair for each direction, all finite."
ezsurfc,function,2,"ezsurfc(funx,funy,funz)",accepted,
ezsurfc,function,3,"ezsurfc(funx,funy,funz,uvinterval)",error,"ezsurfc: a domain is [min max], or one pair for each direction, all finite."
ezsurfc,function,4,"ezsurfc(___,n)",error,"ezsurfc: a domain is [min max], or one pair for each direction, all finite."
ezsurfc,function,5,"ezsurfc(___,'circ')",error,"ezsurfc(f) takes one function of x and y, or three functions of two parameters."
ezsurfc,function,6,"ezsurfc(ax,___)",accepted,
ezsurfc,function,7,sc = ezsurfc(___),accepted,
false,builtin,0,false,accepted,
false,builtin,1,F = false(n),accepted,
false,builtin,2,F = false(sz),accepted,
false,builtin,3,"F = false(sz1,...,szN)",unprobed,no sample for this form's arguments
false,builtin,4,"F = false(___,'like',p)",error,"false expects argument 1 to be a number, but got a string."
fclose,builtin,0,fclose(fileID),accepted,
fclose,builtin,1,fclose('all'),accepted,
fclose,builtin,2,status = fclose(___),accepted,
fcontour,function,0,fcontour(f),error,"sin expects 1 argument(s), but got 2."
fcontour,function,1,"fcontour(f,xyinterval)",error,"fcontour: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fcontour,function,2,"fcontour(___,LineSpec)",error,"fcontour: options come in 'Name', value pairs."
fcontour,function,3,"fcontour(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fcontour,function,4,"fcontour(ax,___)",error,"sin expects 1 argument(s), but got 2."
fcontour,function,5,fc = fcontour(___),error,"sin expects 1 argument(s), but got 2."
feather,function,0,"feather(U,V)",accepted,
feather,function,1,feather(Z),error,"feather takes both components: feather(u, v), or one complex array: feather(z)."
feather,function,2,"feather(___,LineSpec)",accepted,
feather,function,3,"feather(ax,___)",accepted,
feather,function,4,f = feather(___),accepted,
feof,builtin,0,status = feof(fileID),accepted,
ferror,builtin,0,message = ferror(fileID),accepted,
ferror,builtin,1,"[message,errnum] = ferror(fileID)",accepted,
ferror,builtin,2,"[message,errnum] = ferror(fileID,'clear')",accepted,
feval,builtin,0,"[y1,...,yN] = feval(fun,x1,...,xM)",unprobed,no sample for this form's arguments
fft,builtin,0,Y = fft(X),accepted,
fft,builtin,1,"Y = fft(X,n)",accepted,
fft,builtin,2,"Y = fft(X,n,dim)",accepted,
fftn,builtin,0,Y = fftn(X),accepted,
fftn,builtin,1,"Y = fftn(X,sz)",accepted,
fftw,builtin,0,method = fftw('planner'),accepted,
fftw,builtin,1,"previous = fftw('planner',method)",accepted,
fftw,builtin,2,fftinfo = fftw(wisdom),error,fftw does not recognize 'swisdom'; it takes 'planner'.
fftw,builtin,3,"previous = fftw(wisdom,fftinfo)",error,fftw does not recognize 'swisdom'; it takes 'planner'.
fgets,builtin,0,tline = fgets(fileID),accepted,
fgets,builtin,1,"tline = fgets(fileID,nchar)",accepted,
fgets,builtin,2,"[tline,ltout] = fgets(___)",accepted,
fieldnames,builtin,0,fields = fieldnames(S),error,"fieldnames expects a struct, but got a array."
fieldnames,builtin,1,"fields = fieldnames(obj,'-full')",unprobed,no sample for this form's arguments
figure,builtin,0,figure,accepted,
figure,builtin,1,"figure(Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
figure,builtin,2,f = figure(___),accepted,
figure,builtin,3,figure(f),accepted,
figure,builtin,4,figure(n),accepted,
fileattrib,builtin,0,fileattrib,error,"fileattrib expects 1 argument(s), but got 0."
fileattrib,builtin,1,fileattrib filename,accepted,
fileattrib,builtin,2,fileattrib filename attribs,error,"fileattrib expects 1 argument(s), but got 2."
fileattrib,builtin,3,fileattrib filename attribs users,error,"fileattrib expects 1 argument(s), but got 3."
fileattrib,builtin,4,fileattrib filename attribs users s,error,"fileattrib expects 1 argument(s), but got 4."
fileattrib,builtin,5,"[status,values] = fileattrib(filename)",error,"This call returns 1 value(s), but 2 were asked for."
fileattrib,builtin,6,"[status,msg,msgID] = fileattrib(filename,attribs,___)",error,"fileattrib expects 1 argument(s), but got 2."
filemarker,builtin,0,m = filemarker,accepted,
filesep,builtin,0,f = filesep,accepted,
fill,builtin,0,"fill(X,Y,C)",unprobed,no sample for this form's arguments
fill,builtin,1,"fill(X,Y,ColorSpec)",unprobed,no sample for this form's arguments
fill,builtin,2,"fill(X1,Y1,C1,X2,Y2,C2,...)",unprobed,no sample for this form's arguments
fill,builtin,3,"fill(...,'PropertyName',PropertyValue)",unprobed,no sample for this form's arguments
fill,builtin,4,"fill(ax,...)",unprobed,no sample for this form's arguments
fill,builtin,5,h = fill(...),unprobed,no sample for this form's arguments
fill3,builtin,0,"fill3(X,Y,Z,C)",unprobed,no sample for this form's arguments
fill3,builtin,1,"fill3(X,Y,Z,ColorSpec)",unprobed,no sample for this form's arguments
fill3,builtin,2,"fill3(X1,Y1,Z1,C1,X2,Y2,Z2,C2,...)",unprobed,no sample for this form's arguments
fill3,builtin,3,"fill3(...,'PropertyName',PropertyValue)",unprobed,no sample for this form's arguments
fill3,builtin,4,"fill3(ax,...)",unprobed,no sample for this form's arguments
fill3,builtin,5,h = fill3(...),unprobed,no sample for this form's arguments
filter,builtin,0,"y = filter(b,a,x)",accepted,
filter,builtin,1,"y = filter(b,a,x,zi)",error,"filter: the initial conditions need one entry per filter delay (2), but got 3."
filter,builtin,2,"y = filter(b,a,x,zi,dim)",error,"filter: the initial conditions need one entry per filter delay (2), but got 3."
filter,builtin,3,"[y,zf] = filter(___)",accepted,
fimplicit,function,0,fimplicit(f),error,"sin expects 1 argument(s), but got 2."
fimplicit,function,1,"fimplicit(f,interval)",error,"fimplicit: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fimplicit,function,2,"fimplicit(ax,___)",error,"sin expects 1 argument(s), but got 2."
fimplicit,function,3,"fimplicit(___,LineSpec)",error,"fimplicit: options come in 'Name', value pairs."
fimplicit,function,4,"fimplicit(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fimplicit,function,5,fp = fimplicit(___),error,"sin expects 1 argument(s), but got 2."
fimplicit3,function,0,fimplicit3(f),error,"sin expects 1 argument(s), but got 3."
fimplicit3,function,1,"fimplicit3(f,interval)",error,"fimplicit3: a box is [min max] for every direction, or [xmin xmax ymin ymax zmin zmax], all finite."
fimplicit3,function,2,"fimplicit3(ax,___)",error,"sin expects 1 argument(s), but got 3."
fimplicit3,function,3,"fimplicit3(___,LineSpec)",error,"fimplicit3: options come in 'Name', value pairs."
fimplicit3,function,4,"fimplicit3(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fimplicit3,function,5,fs = fimplicit3(___),error,"sin expects 1 argument(s), but got 3."
find,builtin,0,k = find(X),accepted,
find,builtin,1,"k = find(X,n)",accepted,
find,builtin,2,"k = find(X,n,direction)",accepted,
find,builtin,3,"[row,col] = find(___)",accepted,
find,builtin,4,"[row,col,v] = find(___)",accepted,
findall,function,0,h = findall(objhandles),refused,This is not a handle to a figure object; it may belong to a figure that has since been cleared.
findall,function,1,"h = findall(objhandles,prop1,value1,...,propN,valueN)",unprobed,no sample for this form's arguments
findobj,builtin,0,h = findobj,accepted,
findobj,builtin,1,"h = findobj(prop,value)",accepted,
findobj,builtin,2,"h = findobj('-not',prop,value)",error,"findobj understands 'flat' and '-depth', but not '-not'."
findobj,builtin,3,"h = findobj(prop1,value1,oper,prop2,value2)",unprobed,no sample for this form's arguments
findobj,builtin,4,"h = findobj('-regexp',prop,expr)",error,"findobj understands 'flat' and '-depth', but not '-regexp'."
findobj,builtin,5,"h = findobj('-property',prop)",error,"findobj understands 'flat' and '-depth', but not '-property'."
findobj,builtin,6,"h = findobj(prop1,value1,...,propN,valueN)",unprobed,no sample for this form's arguments
findobj,builtin,7,"h = findobj(objhandles,___)",refused,This is not a handle to a figure object; it may belong to a figure that has since been cleared.
findobj,builtin,8,"h = findobj(objhandles,'-depth',d,___)",refused,This is not a handle to a figure object; it may belong to a figure that has since been cleared.
findobj,builtin,9,"h = findobj(objhandles,'flat',___)",refused,This is not a handle to a figure object; it may belong to a figure that has since been cleared.
findstr,builtin,0,"k = findstr(str1,str2)",unprobed,no sample for this form's arguments
fix,builtin,0,Y = fix(X),accepted,
flag,function,0,c = flag,accepted,
flag,function,1,c = flag(m),accepted,
flintmax,builtin,0,f = flintmax,accepted,
flintmax,builtin,1,f = flintmax(precision),accepted,
floor,builtin,0,Y = floor(X),accepted,
floor,builtin,1,Y = floor(t),accepted,
floor,builtin,2,"Y = floor(t,unit)",error,"floor expects 1 argument(s), but got 2."
fmesh,function,0,fmesh(f),error,"sin expects 1 argument(s), but got 2."
fmesh,function,1,"fmesh(f,xyinterval)",error,"fmesh: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fmesh,function,2,"fmesh(funx,funy,funz)",error,"sin expects 1 argument(s), but got 2."
fmesh,function,3,"fmesh(funx,funy,funz,uvinterval)",error,"fmesh: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fmesh,function,4,"fmesh(___,LineSpec)",error,"fmesh: options come in 'Name', value pairs."
fmesh,function,5,"fmesh(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fmesh,function,6,"fmesh(ax,___)",error,"sin expects 1 argument(s), but got 2."
fmesh,function,7,fs = fmesh(___),error,"sin expects 1 argument(s), but got 2."
fopen,builtin,0,fileID = fopen(filename),accepted,
fopen,builtin,1,"fileID = fopen(filename,permission)",accepted,
fopen,builtin,2,"fileID = fopen(filename,permission,machinefmt,encodingIn)",accepted,
fopen,builtin,3,"[fileID,errmsg] = fopen(___)",accepted,
fopen,builtin,4,fIDs = fopen('all'),accepted,
fopen,builtin,5,filename = fopen(fileID),accepted,
fopen,builtin,6,"[filename,permission,machinefmt,encodingOut] = fopen(fileID)",accepted,
format,builtin,0,format(style),error,"format does not recognize 'a'. Try short, long, shortE, longE, compact, or loose."
format,builtin,1,fmt = format,accepted,
format,builtin,2,fmt = format(style),error,"format does not recognize 'a'. Try short, long, shortE, longE, compact, or loose."
fplot,function,0,fplot(f),accepted,
fplot,function,1,"fplot(f,xinterval)",error,"fplot: an interval is two values, [low high]."
fplot,function,2,"fplot(funx,funy)",accepted,
fplot,function,3,"fplot(funx,funy,tinterval)",error,"fplot: an interval is two values, [low high]."
fplot,function,4,"fplot(___,LineSpec)",accepted,
fplot,function,5,"fplot(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fplot,function,6,"fplot(ax,___)",accepted,
fplot,function,7,fp = fplot(___),accepted,
fplot,function,8,"[x,y] = fplot(___)",accepted,
fplot3,function,0,"fplot3(funx,funy,funz)",accepted,
fplot3,function,1,"fplot3(funx,funy,funz,tinterval)",error,"fplot3: an interval is two values, [low high]."
fplot3,function,2,"fplot3(___,LineSpec)",accepted,
fplot3,function,3,"fplot3(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fplot3,function,4,"fplot3(ax,___)",accepted,
fplot3,function,5,fp = fplot3(___),accepted,
fprintf,builtin,0,"fprintf(fileID,formatSpec,A1,...,An)",unprobed,no sample for this form's arguments
fprintf,builtin,1,"fprintf(formatSpec,A1,...,An)",unprobed,no sample for this form's arguments
fprintf,builtin,2,nbytes = fprintf(___),unprobed,no sample for this form's arguments
frame2im,builtin,0,RGB = frame2im(F),unprobed,no sample for this form's arguments
frame2im,builtin,1,"[X,map] = frame2im(F)",unprobed,no sample for this form's arguments
fread,builtin,0,A = fread(fileID),accepted,
fread,builtin,1,"A = fread(fileID,sizeA)",accepted,
fread,builtin,2,"A = fread(fileID,precision)",accepted,
fread,builtin,3,"A = fread(fileID,sizeA,precision)",accepted,
fread,builtin,4,"A = fread(___,skip)",accepted,
fread,builtin,5,"A = fread(___,machinefmt)",accepted,
fread,builtin,6,"[A,count] = fread(___)",accepted,
fscanf,builtin,0,"A = fscanf(fileID,formatSpec)",accepted,
fscanf,builtin,1,"A = fscanf(fileID,formatSpec,sizeA)",accepted,
fscanf,builtin,2,"[A,count] = fscanf(___)",accepted,
fseek,builtin,0,"fseek(fileID, offset, origin)",error,fseek: Invalid seek origin.
fseek,builtin,1,status = fseek(___),error,fseek: Invalid seek origin.
fsurf,function,0,fsurf(f),error,"sin expects 1 argument(s), but got 2."
fsurf,function,1,"fsurf(f,xyinterval)",error,"fsurf: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fsurf,function,2,"fsurf(funx,funy,funz)",error,"sin expects 1 argument(s), but got 2."
fsurf,function,3,"fsurf(funx,funy,funz,uvinterval)",error,"fsurf: a domain is [min max] for both directions, or [xmin xmax ymin ymax]."
fsurf,function,4,"fsurf(___,LineSpec)",error,"fsurf: options come in 'Name', value pairs."
fsurf,function,5,"fsurf(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fsurf,function,6,"fsurf(ax,___)",error,"sin expects 1 argument(s), but got 2."
fsurf,function,7,fs = fsurf(___),error,"sin expects 1 argument(s), but got 2."
ftell,builtin,0,position = ftell(fileID),accepted,
full,builtin,0,A = full(S),accepted,
func2str,builtin,0,c = func2str(fh),accepted,
functions,builtin,0,s = functions(fh),accepted,
fwrite,builtin,0,"fwrite(fileID,A)",accepted,
fwrite,builtin,1,"fwrite(fileID,A,precision)",accepted,
fwrite,builtin,2,"fwrite(fileID,A,precision,skip)",accepted,
fwrite,builtin,3,"fwrite(fileID,A,precision,skip,machinefmt)",accepted,
fwrite,builtin,4,count = fwrite(___),accepted,
gamma,builtin,0,Y = gamma(X),accepted,
gammainc,builtin,0,"Y = gammainc(X,A)",accepted,
gammainc,builtin,1,"Y = gammainc(X,A,type)",accepted,
gammainc,builtin,2,"Y = gammainc(X,A,scale)",error,"gammainc: the tail must be 'lower' or 'upper', not 'scaledlower'."
gammaincinv,builtin,0,"X = gammaincinv(Y,A)",accepted,
gammaincinv,builtin,1,"X = gammaincinv(Y,A,type)",accepted,
gammaln,builtin,0,Y = gammaln(A),unprobed,no sample for this form's arguments
gca,function,0,ax = gca,accepted,
gcbf,function,0,fig = gcbf,accepted,
gcbo,builtin,0,h = gcbo,accepted,
gcbo,builtin,1,"[h,figure] = gcbo",error,"This call returns 1 value(s), but 2 were asked for."
gcf,builtin,0,fig = gcf,accepted,
gco,builtin,0,h = gco,accepted,
gco,builtin,1,h = gco(figure_handle),unprobed,no sample for this form's arguments
ge,builtin,0,A >= B,unprobed,no sample for this form's arguments
ge,builtin,1,"ge(A,B)",accepted,
get,builtin,0,v = get(h),unprobed,no sample for this form's arguments
get,builtin,1,"v = get(h,propertyName)",unprobed,no sample for this form's arguments
get,builtin,2,"v = get(h,propertyArray)",unprobed,no sample for this form's arguments
get,builtin,3,"v = get(h,'default')",unprobed,no sample for this form's arguments
get,builtin,4,"v = get(h,defaultTypeProperty)",unprobed,no sample for this form's arguments
get,builtin,5,"v = get(groot,'factory')",unprobed,no sample for this form's arguments
get,builtin,6,"v = get(groot,factoryTypeProperty)",unprobed,no sample for this form's arguments
getappdata,function,0,"val = getappdata(obj,name)",accepted,
getappdata,function,1,vals = getappdata(obj),accepted,
getenv,builtin,0,value = getenv(name),accepted,
getframe,function,0,F = getframe,accepted,
getframe,function,1,F = getframe(ax),accepted,
getframe,function,2,F = getframe(fig),accepted,
getframe,function,3,"F = getframe(___,rect)",error,getframe takes a figure or axes handle and nothing else; a rectangle to crop to is not read here.
getpoints,builtin,0,"[x,y] = getpoints(an)",unprobed,no sample for this form's arguments
getpoints,builtin,1,"[x,y,z] = getpoints(an)",unprobed,no sample for this form's arguments
gobjects,function,0,H = gobjects(n),accepted,
gobjects,function,1,"H = gobjects(s1,...,sn)",unprobed,no sample for this form's arguments
gobjects,function,2,H = gobjects(v),error,"gobjects expects argument 1 to be a number, but got a array."
gobjects,function,3,H = gobjects,accepted,
gobjects,function,4,H = gobjects(0),accepted,
gray,function,0,c = gray,accepted,
gray,function,1,c = gray(m),accepted,
grid,function,0,grid on,accepted,
grid,function,1,grid off,accepted,
grid,function,2,grid,accepted,
grid,function,3,grid minor,accepted,
