name,kind,form_index,syntax,verdict,detail
camdolly,function,2,"camdolly(dx,dy,dz,targetmode,coordsys)",unprobed,no sample for this form's arguments
camdolly,function,3,"camdolly(ax,...)",unprobed,no sample for this form's arguments
camlight,function,0,camlight('headlight'),accepted,
camlight,function,1,camlight('right'),accepted,
camlight,function,2,camlight('left'),accepted,
camlight,function,3,camlight,accepted,
camlight,function,4,"camlight(az,el)",unprobed,no sample for this form's arguments
camlight,function,5,"camlight(...,'style')",unprobed,no sample for this form's arguments
camlight,function,6,"camlight(lgt,...)",unprobed,no sample for this form's arguments
camlight,function,7,"camlight(ax,...)",unprobed,no sample for this form's arguments
camlight,function,8,lgt = camlight(...),unprobed,no sample for this form's arguments
camlookat,function,0,camlookat(object_handles),unprobed,no sample for this form's arguments
camlookat,function,1,camlookat(axes_handle),unprobed,no sample for this form's arguments
camlookat,function,2,camlookat,accepted,
camorbit,function,0,"camorbit(dtheta,dphi)",unprobed,no sample for this form's arguments
camorbit,function,1,"camorbit(dtheta,dphi,'coordsys')",unprobed,no sample for this form's arguments
camorbit,function,2,"camorbit(dtheta,dphi,'coordsys','direction')",unprobed,no sample for this form's arguments
camorbit,function,3,"camorbit(axes_handle,...)",unprobed,no sample for this form's arguments
campan,function,0,"campan(dtheta,dphi)",unprobed,no sample for this form's arguments
campan,function,1,"campan(dtheta,dphi,coordsys)",unprobed,no sample for this form's arguments
campan,function,2,"campan(dtheta,dphi,coordsys,direction)",unprobed,no sample for this form's arguments
campan,function,3,"campan(ax,...)",unprobed,no sample for this form's arguments
campos,function,0,campos,accepted,
campos,function,1,campos([camera_position]),error,campos: expected a three-element position.
campos,function,2,campos('mode'),error,"campos: expected 'auto' or 'manual', got 'mode'."
campos,function,3,campos('auto'),accepted,
campos,function,4,campos('manual'),accepted,
campos,function,5,"campos(ax,...)",unprobed,no sample for this form's arguments
camproj,function,0,camproj,accepted,
camproj,function,1,camproj('projection_type'),error,"camproj: the projection is 'orthographic' or 'perspective', but got 'projection_type'."
camproj,function,2,"camproj(axes_handle,...)",unprobed,no sample for this form's arguments
camroll,function,0,camroll(dtheta),unprobed,no sample for this form's arguments
camroll,function,1,"camroll(ax,dtheta)",unprobed,no sample for this form's arguments
camtarget,function,0,camtarget,accepted,
camtarget,function,1,camtarget([camera_target]),error,camtarget: expected a three-element vector.
camtarget,function,2,camtarget('mode'),error,"camtarget: expected 'auto' or 'manual', got 'mode'."
camtarget,function,3,camtarget('auto'),accepted,
camtarget,function,4,camtarget('manual'),accepted,
camtarget,function,5,"camtarget(axes_handle,...)",unprobed,no sample for this form's arguments
camup,function,0,camup,accepted,
camup,function,1,camup([up_vector]),error,camup: expected a three-element vector.
camup,function,2,camup('mode'),error,"camup: expected 'auto' or 'manual', got 'mode'."
camup,function,3,camup('auto'),accepted,
camup,function,4,camup('manual'),accepted,
camup,function,5,"camup(axes_handle,...)",unprobed,no sample for this form's arguments
camva,function,0,camva,accepted,
camva,function,1,camva(view_angle),unprobed,no sample for this form's arguments
camva,function,2,camva('mode'),error,"camva: expected 'auto' or 'manual', got 'mode'."
camva,function,3,camva('auto'),accepted,
camva,function,4,camva('manual'),accepted,
camva,function,5,"camva(axes_handle,...)",unprobed,no sample for this form's arguments
camzoom,function,0,camzoom(zoom_factor),unprobed,no sample for this form's arguments
camzoom,function,1,"camzoom(axes_handle,...)",unprobed,no sample for this form's arguments
cast,builtin,0,"B = cast(A,newclass)",accepted,
cast,builtin,1,"B = cast(A,'like',p)",accepted,
caxis,function,0,caxis(limits),error,"caxis: expected two limits, got 3."
caxis,function,1,caxis('auto'),accepted,
caxis,function,2,caxis('manual'),accepted,
caxis,function,3,"caxis(target,___)",error,"caxis: expected two limits, got 3."
caxis,function,4,cl = caxis,accepted,
cd,builtin,0,cd,accepted,
cd,builtin,1,cd newFolder,error,cd: There is no folder 'newFolder'.
cd,builtin,2,oldFolder = cd(newFolder),error,cd: There is no folder 'a'.
ceil,builtin,0,Y = ceil(X),accepted,
ceil,builtin,1,Y = ceil(t),accepted,
ceil,builtin,2,"Y = ceil(t,unit)",error,"ceil expects 1 argument(s), but got 2."
cell2struct,builtin,0,"structArray = cell2struct(cellArray, fields, dim)",unprobed,no sample for this form's arguments
cellfun,builtin,0,"A = cellfun(func,C)",accepted,
cellfun,builtin,1,"A = cellfun(func,C1,...,Cn)",unprobed,no sample for this form's arguments
cellfun,builtin,2,"A = cellfun(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
cellfun,builtin,3,"[A1,...,Am] = cellfun(___)",error,"cellfun: element 1 produced 1 output(s), but 2 were asked for."
chol,builtin,0,R = chol(A),accepted,
chol,builtin,1,"R = chol(A,triangle)",accepted,
chol,builtin,2,"[R,flag] = chol(___)",accepted,
chol,builtin,3,"[R,flag,P] = chol(S)",accepted,
