name,"none","double","string","cell","struct","fh","char","logical","int8","table","datetime","duration","categorical","map","double,double","double,string","string,double","double,cell","cell,double","double,struct","double,fh","int8,double","double,char","char,double","string,string","double,table","table,double","double,datetime","datetime,double","double,duration","double,categorical","double,map","map,double","string,cell","cell,string","double,double,string","double,double,cell"
fgetl,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
ischar,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
isempty,file,builtin,builtin,file,file,file,file,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin-err,file,builtin-err,file,file,file,file,builtin-err,builtin-err,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,file,builtin-err,builtin-err,file,file,file
numel,file,builtin,builtin,file,file,file,file,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,file,builtin-err,file,file,file,file,builtin,builtin,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin-err,builtin-err,file,builtin,builtin-err,file,file,file
strcmp,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
isequal,file,builtin-err,builtin-err,file,file,file,builtin-err,builtin-err,builtin-err,file,builtin-err,builtin-err,builtin-err,file,builtin,builtin,builtin,file,file,file,file,builtin,builtin,builtin,builtin,file,file,builtin,builtin,builtin,builtin,file,file,builtin,builtin,builtin,file
delete,file,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file
disp,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,file,file,builtin-err,file,file,file,file,file,file,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,file,builtin-err,builtin-err,file,file,file
size
class,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
isa,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
true,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
false,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
struct,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
cell,file,file,file,file,file,file,file,file,file,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file
string,builtin,builtin,builtin,builtin,builtin-err,builtin-err,builtin,builtin,builtin,builtin-err,builtin,builtin,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err
double,file,builtin,builtin,file,file,file,builtin,builtin,builtin,builtin-err,builtin-err,builtin-err,builtin,file,builtin-err,file,builtin-err,file,file,file,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,file,file,builtin-err,file,file,file
table,builtin,builtin,builtin,builtin,builtin,builtin-err,builtin-err,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin-err,builtin,builtin-err,builtin-err,builtin,builtin-err,builtin-err,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin,builtin
datetime,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err
duration,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err
categorical,builtin,builtin,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin,builtin-err,builtin,builtin,builtin,builtin-err,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin-err,builtin-err,builtin,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,builtin,builtin-err
any,file,builtin,file,file,file,file,file,builtin,builtin,file,file,file,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,file,file,file,file,file,file,file,file,file,file,file,file,file,file
