name,"none","double","string","cell","struct","fh","char","logical","int8","table","datetime","duration","categorical","map","double,double","double,string","string,double","double,cell","cell,double","double,struct","double,fh","int8,double","double,char","char,double","string,string","double,table","table,double","double,datetime","datetime,double","double,duration","double,categorical","double,map","map,double","string,cell","cell,string","double,double,string","double,double,cell"
Inf,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
NaN,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
diff,file,builtin,file,file,file,file,builtin,builtin,builtin,builtin,builtin,builtin,file,file,builtin-err,file,file,file,file,file,file,builtin-err,builtin-err,builtin-err,file,builtin-err,builtin-err,builtin-err,builtin-err,builtin-err,file,file,file,file,file,file,file
inf,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
nan,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file,file
